"Client","WLM","Y!M","AIM/ICQ","XMPP","IRC","IBM Lotus Sametime","Novell GroupWise Messenger","Gadu-Gadu","QQ","Xfire","Skype","MySpaceIM","SIP","Others"
"Adium","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","No","MobileMe, Zephyr, NateOn, Tlen"
"AIM","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"aMSN","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ayttm","Yes","Yes","Partial","Yes","Yes","No","No","No","No","No","No","No","No","No"
"BitlBee","Yes","Yes","Yes","Yes","N/A","Depends","No","Depends","","","","","",""
"Centericq","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No"
"climm","No","No","Yes","Partial","No","No","No","No","No","No","No","No","No","No"
"eBuddy","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"emesene","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"Empathy","Yes","Depends","Yes","Yes","Depends","Yes","Depends","","","","","","",""
"Fire","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"Gajim","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"IBM Lotus Sametime","No","Yes/No","Yes/No","Yes/No","No","Yes","No","No","No","No","No","No","Yes","No"
"ICQ","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"IMVU","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","IMVU"
"Instantbird","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Netsoul"
"InTouch Messenger","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"Jitsi","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No"
"Kadu","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No"
"Kopete","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","No","No","SILC, WinPopup"
"Messages","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","MobileMe"
"Miranda IM","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Partial","Yes","No","Tlen"
"naim","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Lily"
"Nimbuzz","Yes","Yes","No","Yes","?","?","?","?","?","?","?","No","Yes","Twitter, Facebook chat, Google Talk"
"Palringo","Yes","Yes","Yes","Yes","No","No","No","Yes","No","?","?","?","No","?"
"Paltalk","No","Yes","Yes","No","No","No","No","No","No","?","?","?","No","?"
"Pidgin","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Battle.net, NateOn, SILC, Tlen, Zephyr"
"QIP","No","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","MRA, XIMSS"
"Qnext","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Qnext"
"QuteCom","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No"
"Skype","Partial","No","No","Partial","No","No","No","No","No","No","Yes","No","No","No"
"Tencent QQ","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Tkabber","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"Trillian","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","LinkedIn, Foursquare, ASTRA, VZ"
"Windows Live Messenger","Yes","Yes","No","Partial","No","No","No","No","No","No","No","No","No","No"
"Yahoo! Messenger","Partial","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Upptalk","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"Zephyr","No","No","No","No","No","No","No","No","No","No","No","No","No","Zephyr"
"","WLM","Y!M","AIM/ICQ","XMPP","IRC","IBM Lotus Sametime","Novell GroupWise Messenger","Gadu-Gadu","QQ","Xfire","Skype","MySpaceIM","SIP","Others"
