"Products","Client Name","Open Source Client","Client-side Encryption","Decentralized computing","Contact Verification","Symmetric Encryption (e.g. AES, Camellia)","Asym. Encryp: RSA","Asym. Encryp.: DSA","Asym. Encryp.: ECC","Asym. Encryp: NTRU","Asym. Encryp: ElGamal","Default Asym. Keysize","Max. Asymm. Keysize","Forward Secrecy","Multiple Encryption","Encrypted Groupchat","Encrypted File transfer","Public Key not related to IP","Proxy /Tor","TCP","UDP","SCTP","Encryp. asynchronous communication","Encryp. local message database"
"P28","","","","","","","","","","","","","","","","","","","","","","","",""
"P1","Adium","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","no","no","?"
"P2","BitlBee","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P3","ChatSecure + Orbot","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","Yes","Yes","?","?","?","Yes","?","?","?","no","?"
"P4","climm","?","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P5","Gajim","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P6","Jitsi","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","no","?"
"P7","Kik","No","No","No","No","no","?","?","no","no","no","?","?","No","no","no","?","Yes","no","Yes","?","no","no","no"
"P8","Kopete","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P9","MCabber","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P10","Miranda IM","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P11","Pidgin","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","4096","Yes","?","?","Yes","?","?","Yes","?","?","Optional","?"
"P12","Psi","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P13","RetroShare","Yes","Yes","Yes","Yes","Yes","Yes","?","?","no","no","2048","4096","Yes","no","Yes","Yes","no","Optional","Yes","Yes","no","Yes","Yes"
"P14","Sicher","No","Yes","No","?","Yes","Yes","?","?","no","no","2048","2048","No","no","Yes","Yes","no","no","Yes","no","no","?","?"
"P15","Signal","Yes","Yes","Yes","Yes","Yes","Yes","no","Yes","no","no","2048","2048","Yes","Yes","Yes","Yes","Yes","no","Yes","no","no","Yes","Yes"
"P16","Surespot","Yes","Yes","Yes","Yes","Yes","no","Yes","?","no","no","1024","2048","Yes","no","no","no","no","?","Yes","no","no","?","?"
"P17","Telegram (standard messages)","Yes","No","No","No","no","?","?","no","no","no","?","?","No","no","no","no","no","?","?","no","no","no","no"
"P18","Telegram (secret chats)","Yes","Yes","No","Yes","no","Yes","?","no","no","no","1024","2048","Yes","no","no","no","no","?","Yes","no","no","no","no"
"P19","TextSecure","Yes","Yes","Yes","Yes","Yes","Yes","no","Yes","no","no","2048","2048","Yes","Yes","Yes","Yes","Yes","no","Yes","no","no","Yes","Yes"
"P20","Threema","No","Yes","No","Yes","?","?","?","?","?","?","?","?","Yes","?","Yes","Yes","?","?","?","?","?","Yes","Yes"
"P21","Tkabber","Yes","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P22","Tox","Yes","Yes","Yes","No","Yes","Yes","?","?","no","no","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","no","no","no"
"P23","Trillian Not OpenPGP.","No","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?"
"P24","WASTE","Yes","Yes","Yes","?","no","Yes","?","?","no","no","1024","1024","No","no","no","Yes","no","no","Yes","no","no","?","?"
"P25","WhatsApp","No","Work in progress","No","Work in progress","Work in progress","Work in progress","?","Work in progress","?","?","?","?","Work in progress","Work in progress","Work in progress","Work in progress","Work in progress","no","?","?","?","Work in progress","no"
"P26","Wickr","No","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","Yes","Yes"
"P27","","","","","","","","","","","","","","","","","","","","","","","",""
