"IDE","Developer","Latest stable release","Platform","License","Written In"
"Anjuta","Anjuta Team","June 2013","Unix-like","GPL","C"
"Brackets","Adobe","April 2015","Cross-platform","MIT License","JavaScript, HTML, CSS"
"Aptana Studio","Aptana, Inc.","December 2013","Cross-platform","GPL, proprietary","Java, JavaScript"
"Eclipse Web Tools","IBM","","Windows, Linux, Mac OS X, FreeBSD, JVM, Solaris","EPL","Java"
"Komodo IDE / Edit","ActiveState","November 19, 2013","Cross-platform","IDE:Proprietary, Edit:MPL 1.1","C++, C, XUL, Perl, Python, JavaScript, Tcl"
"NetBeans","Oracle","November 28, 2014","Cross-platform","CDDL, GPL2","Java"
"Nodeclipse NTS","Nodeclipse","March 31, 2014","Windows, Linux, Mac OS X, FreeBSD, JVM, Solaris","EPL","Java"
"NuSphere PhpED","NuSphere","June 2011","Windows","Proprietary","N/A"
"Oracle JDeveloper","Oracle Corporation","July 2013","Windows, Linux, Mac OS X","Proprietary - free","Java"
"Servoy","Servoy Developer Team","June 2011","Cross-platform","Servoy License","Java"
"Visual Studio","Microsoft","October 2013","Windows","Proprietary","C++, C#"
"WebStorm","JetBrains","April 2015","Cross-platform","Proprietary","Java"
