"IDE","License","Windows","Linux","Mac OS X","Other platforms","Debugger","GUI builder","Integrated toolchain","Profiler","Code coverage","Autocomplete","Static code analysis","GUI-based design","Class browser","Latest stable release","C compiler","C++ compiler","Refactoring"
"Anjuta","GPL","No","Yes","No","FreeBSD","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","2013 06","Yes","Yes","No"
"AppCode (IntelliJ IDEA)","Proprietary","No","No","Yes","No","Yes","Yes","No","Yes (Xcode profiler)","No","Yes","Yes","Yes","Yes","2012 12","Yes (Xcode toolchain)","Yes (Xcode toolchain)","Yes"
"C++Builder","Proprietary","Yes","No (Kylix deprecated)","Yes (Cross compiler)","cross-compiles for Android","Yes","Yes","Yes","Yes (bundled with AQTime)","Yes","Yes","Yes","Yes","Yes","2015 05 XE8","Yes","Yes","Yes"
"Code::Blocks","GPL","Yes","Yes","Yes","FreeBSD, OpenBSD, Solaris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2013 12","Yes (MinGW + custom)","Yes (MinGW + custom)","No"
"CodeLite","GPL","Yes","Yes","Yes","FreeBSD","Yes","Yes","Yes","Yes (As of CodeLite 6.1, integration with Valgrind)","No","Yes","Yes","Yes","Yes","2015 02","Yes (GCC, Clang, VC, + Custom)","Yes (GCC, Clang, VC  + Custom)","Yes"
"Dev-C++","GPL","Yes","No","No","FreeBSD","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","2013 10 (Unofficial Version), 2005 02 (Official Version)","Yes","Yes","No"
"Eclipse CDT","EPL","Yes","Yes","Yes","FreeBSD, JVM, Solaris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","2014 06","External","External","Yes"
"Geany","GPL","Yes","Yes","Yes","FreeBSD, IBM AIX, OpenBSD, Solaris, other Unix","Yes","No","No","No","No","Yes","No","No","Yes","2013 03","External","External","No"
"GNAT Programming Studio","GPL","Yes","Yes","Yes","DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","2010 12","Yes","Yes","Yes"
"KDevelop","GPL","No","Yes","Yes","FreeBSD, Solaris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2015 02","External","External","Yes"
"LabWindows/CVI","Proprietary","Yes","No","No","cross-compile to Linux, Phar Lap ETS","Yes","Yes","Yes","Yes","No","Yes","No","Yes","N/A","2012","Yes","No","No"
"LccWin32","Freeware / Proprietary","Yes","Yes (obsolete)","No","","Yes","Yes (unstable)","Yes","Yes","No","Yes","Yes","Yes","N/A","2002 09","Yes","No","No"
"Microsoft Visual Studio","Proprietary","Yes","No","No","cross-compile to Windows Mobile, Mac OS 7 (v2.x-v4.x only), Linux","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2014 05","Yes","Yes","Yes (via plugin)"
"Microsoft Visual Studio Express","Proprietary freeware","Yes","No","No","","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","2013 04","Yes","Yes","No"
"MonoDevelop","LGPL","Yes","Yes","Yes","FreeBSD, OpenBSD, Solaris","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","2013 02","Yes (GCC + Custom)","Yes (GCC + Custom)","Yes"
"NetBeans C/C++ pack","CDDL and GPL","Yes","Yes","Yes","OpenBSD, Solaris","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","2013 02","External","External","Yes"
"OpenWatcom","OSI Approved","Yes (32-bit only)","partial","No","FreeBSD, MS-DOS, OS/2","Yes (GUI remote)","Yes","Yes","Yes","No","No","No","Yes","Yes","2010 06","Yes","Yes","No"
"Oracle Solaris Studio (formerly Sun Studio)","Proprietary freeware","No","Yes","No","Solaris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2008 11","Yes","Yes","Yes"
"Pelles C","Proprietary freeware","Yes","No","No","Windows CE","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","N/A","2015 03","Yes","No","No"
"Philasmicos Entwickler Studio","Freeware / Proprietary","Yes","Yes","No","","Yes","Yes","Yes","No","No","Yes","No","Yes (wxWidgets)","Yes","2012 04","External","External","No"
"Qt Creator","GPL / LGPL / Proprietary","Yes","Yes","Yes","FreeBSD, Maemo, OpenBSD, Symbian","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","2014 12","No","External","Yes"
"Rational Software Architect (Eclipse IBM)","Proprietary","Yes","Yes","No","FreeBSD, JVM, Solaris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2012 07","External","External","Yes"
"Ultimate++ TheIDE","BSD","Yes","Yes","No","","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","2012 10","External","External","No"
"wxDev-C++","GPL","Yes","No","No","","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","2011 10","Yes","Yes","No"
"Xcode (Apple)","Proprietary","No","No","Yes","cross compiles to iOS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2014 04","Yes, llvm (llvm-gcc and gcc deprecated)","Yes, llvm (llvm-gcc and gcc deprecated)","Yes"
"","","","","","","","","","","","","","","","","","",""
