"System","Git","Mercurial","Bazaar","Monotone","Darcs","CVS","Subversion","Perforce","AccuRev","ClearCase","Others"
"Apache Bloodhound","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Optional","Yes","No","No"
"Assembla Tickets","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No"
"Axosoft","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes VSS, Vault Sourcegear"
"Bontq","No","No","No","No","No","No","No","No","No","No","No"
"Brimir","No","No","No","No","No","No","No","No","No","No","No"
"Bugzilla","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No"
"Debbugs","No","No","No","No","No","No","No","No","No","No","No"
"FogBugz","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","2"
"Fossil","No","No","No","No","No","No","No","No","Yes","No","1"
"FusionForge","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No"
"GNATS","No","No","No","No","No","Yes","No","No","No","No","No"
"Google Code Hosting","Yes","Yes","No","No","No","No","Yes","No","No","No","No"
"HP Application Lifecycle Management","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"IBM Rational ClearQuest","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"JIRA","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Kayako SupportSuite","No","No","No","No","No","No","No","No","No","No","No"
"Liberum Help Desk","No","No","No","No","No","No","No","No","No","No","No"
"LibreSource","No","No","No","No","No","No","Yes","No","No","No","No"
"MantisBT","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No"
"Microsoft Dynamics CRM","No","No","No","No","No","No","No","No","No","No","No"
"org-mode","No","No","No","No","No","No","No","No","No","No","No"
"OTRS","No","No","No","No","No","No","No","No","No","No","No"
"Pivotal Tracker","Yes","No","No","No","No","Yes","Yes","No","No","No","No"
"Plain Ticket","No","No","No","No","No","No","No","No","No","No","No"
"Planbox","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Redmine","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
"Remedy Action Request System","No","No","No","No","No","No","No","No","No","Yes","No"
"Request Tracker","No","No","No","No","No","Yes","Yes","No","No","No","No"
"Roundup","No","No","No","No","Yes","No","Yes","No","No","No","No"
"StarTeam","No","No","No","No","No","No","No","No","No","No","Yes - StarTeam includes revision control"
"Supportworks","No","No","No","No","No","No","No","No","No","No","No"
"SysAid","No","No","No","No","No","No","Yes","No","No","No","No"
"Team Foundation Server","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes - TFS includes revision control"
"Teamwork","No","No","No","No","No","No","Yes","No","No","No","No"
"TechExcel's DevTrack","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes - BitKeeper, PVCS, VSS, TFS, MKS Source, StarTeam, AlienBrain, SourceGear Vault"
"TestTrack","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes - Surround SCM, VSS"
"The Bug Genie","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No"
"Trac","Yes","Yes","Yes","Yes","Yes","No","Yes","Optional","Yes","No","No"
"TrackerSuite.Net","No","No","No","No","No","No","No","No","No","No","No"
"Usersnap","No","No","No","No","No","No","No","No","No","No","No"
"Web Help Desk","No","No","No","No","No","No","No","No","No","No","No"
"Wrike","No","No","No","No","No","No","Yes","No","No","No","No"
"YouTrack","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","3"
"Zoho BugTracker","Yes","Yes","No","No","No","No","No","No","No","No","No"
"","","","","","","","","","","",""
