"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto",""
"Products","Interface CDATASection","Interface CDATASection","Tasman","Interface CDATASection","Interface CDATASection","Interface CDATASection","Interface CDATASection",""
"Products","DOM1","","No","Interface CDATASection","1.0","Yes","?","2.0"
"P16","DOM1","","No","No","1.0","Yes","?","1.0"
"P20","DOM1","","No","No","1.0","Yes","?","2.0"
"P5","DOM2","","?","","1.0","","","1.0"
"P9","DOM1","","?","","1.0","","",""
"P17","DOM1","","No","No","1.0","Yes","?","No"
"P21","DOM1","","No","No","1.0","Yes","?","2.0"
"P23","DOM1","","?","","1.0","","","2.0"
"P10","DOM1","","?","","1.0","","",""
"P13","DOM3","","?","","","","",""
"P1","Interface DocumentType","Interface DocumentType","Interface DocumentType","Interface DocumentType","Interface DocumentType","Interface DocumentType","Interface DocumentType","Interface DocumentType"
"P2","DOM1","","No","?","","","","1.0"
"P3","DOM2","","No","No","1.0","Yes","?","1.0"
"P4","DOM2","","?","","1.0","","","1.0"
"P6","Interface Notation","Interface Notation","Interface Notation","Interface Notation","Interface Notation","Interface Notation","Interface Notation","Interface Notation"
"P7","Interface Entity","Interface Entity","Interface Entity","Interface Entity","Interface Entity","Interface Entity","Interface Entity","Interface Entity"
"P8","DOM1","","?","","","","","1.0"
"P11","DOM3","","No","No","No","No","?","No"
"P12","DOM3","","?","","","","",""
"P14","Interface EntityReference","Interface EntityReference","Interface EntityReference","Interface EntityReference","Interface EntityReference","Interface EntityReference","Interface EntityReference","Interface EntityReference"
"P15","DOM1","","No","No","1.0","Yes","?","No"
"P18","Interface ProcessingInstruction","Interface ProcessingInstruction","Interface ProcessingInstruction","Interface ProcessingInstruction","Interface ProcessingInstruction","Interface ProcessingInstruction","Interface ProcessingInstruction","Interface ProcessingInstruction"
"P19","DOM1","","No","No","1.0","Yes","?","2.0"
"P22","DOM1","","?","","1.0","","","2.0"
