"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"P13","","3.1","","1.0","","","1.0",""
"P14","","3.1","","1.0","","","1.0",""
"P15","","3.1","","1.0","","","1.0",""
"P8","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P16","","3.1","","1.0","","","1.0",""
"P9","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P17","","3.1","","1.0","","","1.0",""
"P18","","3.1","","1.0","","","1.0",""
"P19","","3.1","","1.0","","","1.0",""
"P10","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P20","","3.1","","1.0","","","1.0",""
"P21","","3.1","","1.0","","","1.0",""
"P22","","3.1","","1.0","","","1.0",""
"P23","","3.1","","1.0","","","1.0",""
"P24","","3.1","","1.0","","","1.0",""
"P11","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P1","Phrase","Phrase","Phrase","Phrase","Phrase","Phrase","Phrase","Phrase"
"P2","Quotations","Quotations","Quotations","Quotations","Quotations","Quotations","Quotations","Quotations"
"P3","","4.0","1.8","","","","1.0",""
"P4","Subscripts and superscripts","Subscripts and superscripts","Subscripts and superscripts","Subscripts and superscripts","Subscripts and superscripts","Subscripts and superscripts","Subscripts and superscripts","Subscripts and superscripts"
"P5","Lines and paragraphs","Lines and paragraphs","Lines and paragraphs","Lines and paragraphs","Lines and paragraphs","Lines and paragraphs","Lines and paragraphs","Lines and paragraphs"
"P6","Marking document changes","Marking document changes","Marking document changes","Marking document changes","Marking document changes","Marking document changes","Marking document changes","Marking document changes"
"P7","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P12","","3.1","","1.0","","","1.0",""
