"Products","","Trident","Gecko","WebKit","Presto"
"P8","loop","5.0","11.0","525","2.5"
"P10","controls","5.0","1.9.1","525","2.5"
"P16","src","5.0","1.9.1","525","2.5"
"P6","autoplay","5.0","1.9.1","525","2.5"
"P4","preload","5.0","2.0","525","Experimental"
"P17","src","5.0","1.9.1","525","2.5"
"P1","audio attributes","audio attributes","audio attributes","audio attributes","audio attributes"
"P2","video attributes","video attributes","video attributes","video attributes","video attributes"
"P3","preload","5.0","2.0","525","Experimental"
"P5","autoplay","5.0","1.9.1","525","2.5"
"P7","loop","5.0","11.0","525","2.5"
"P9","controls","5.0","1.9.1","525","2.5"
"P11","poster","5.0","1.9.2","525","2.5"
"P12","width","5.0","1.9.1","525","2.5"
"P13","height","5.0","1.9.1","525","2.5"
"P14","source attributes","source attributes","source attributes","source attributes","source attributes"
"P15","src","5.0","1.9.1","525","2.5"
"P18","type","5.0","1.9.1","525","2.5"
"P19","media","5.0","15.0","525","2.5"
"P20","track attributes","track attributes","track attributes","track attributes","track attributes"
"P21","kind","6.0","24.0","Yes","No"
"P22","label","6.0","24.0","",""
"P23","src","6.0","24.0","",""
"P24","srclang","6.0","24.0","",""
