"","Trident","Gecko","WebKit","Presto"
"abs","No","Yes","?","?"
"and","No","Yes","?","?"
"annotation","No","?","?","?"
"annotation-xml","No","?","?","?"
"apply","No","Yes","?","?"
"approx","No","Yes","?","?"
"arccos","No","Yes","?","?"
"arccosh","No","Yes","?","?"
"arccot","No","Yes","?","?"
"arccoth","No","Yes","?","?"
"arccsc","No","Yes","?","?"
"arccsch","No","Yes","?","?"
"arcsec","No","Yes","?","?"
"arcsech","No","Yes","?","?"
"arcsin","No","Yes","?","?"
"arcsinh","No","Yes","?","?"
"arctan","No","Yes","?","?"
"arctanh","No","Yes","?","?"
"arg","No","?","?","?"
"bvar","No","Yes","?","?"
"card","No","Yes","?","?"
"cartesianproduct","No","Yes","?","?"
"ceiling","No","Yes","?","?"
"ci","No","Yes","?","?"
"cn","No","Yes","?","?"
"codomain","No","Yes","?","?"
"complexes","No","?","?","?"
"compose","No","?","?","?"
"condition","No","?","?","?"
"conjugate","No","?","?","?"
"cos","No","Yes","?","?"
"cosh","No","Yes","?","?"
"cot","No","Yes","?","?"
"coth","No","Yes","?","?"
"csc","No","Yes","?","?"
"csch","No","Yes","?","?"
"csymbol","No","?","?","?"
"curl","No","?","?","?"
"declare","No","?","?","?"
"degree","No","?","?","?"
"determinant","No","Yes","?","?"
"diff","No","Yes","?","?"
"divergence","No","?","?","?"
"divide","No","?","?","?"
"domain","No","Yes","?","?"
"domainofapplication","No","?","?","?"
"emptyset","No","?","?","?"
"encoding","No","?","?","?"
"eq","No","?","?","?"
"equivalent","No","?","?","?"
"eulergamma","No","?","?","?"
"exists","No","?","?","?"
"exp","No","?","?","?"
"exponentiale","No","?","?","?"
"factorial","No","?","?","?"
"factorof","No","?","?","?"
"false","No","?","?","?"
"floor","No","?","?","?"
"fn","No","?","?","?"
"forall","No","?","?","?"
"function","No","?","?","?"
"gcd","No","?","?","?"
"geq","No","?","?","?"
"grad","No","?","?","?"
"gt","No","?","?","?"
"ident","No","?","?","?"
"image","No","?","?","?"
"imaginary","No","?","?","?"
"imaginaryi","No","?","?","?"
"implies","No","?","?","?"
"in","No","?","?","?"
"infinity","No","?","?","?"
"int","No","?","?","?"
"integers","No","?","?","?"
"intersect","No","?","?","?"
"interval","No","?","?","?"
"inverse","No","?","?","?"
"lambda","No","?","?","?"
"laplacian","No","?","?","?"
"lcm","No","?","?","?"
"leq","No","?","?","?"
"limit","No","?","?","?"
"list","No","?","?","?"
"ln","No","?","?","?"
"log","No","?","?","?"
"logbase","No","?","?","?"
"lowlimit","No","?","?","?"
"lt","No","?","?","?"
"m:apply","No","?","?","?"
"m:mrow","No","?","?","?"
"maction","No","Yes","?","Yes"
"malign","No","?","?","?"
"maligngroup","No","No","?","?"
"malignmark","No","No","?","?"
"malignscope","No","?","?","?"
"math","No","Yes","Partial","Yes"
"matrix","No","No","?","?"
"matrixrow","No","No","?","?"
"max","No","?","?","?"
"mean","No","?","?","?"
"median","No","?","?","?"
"menclose","No","Yes","?","Yes"
"merror","No","Yes","Partial","Yes"
"mfenced","No","Yes","Yes","Yes"
"mfrac","No","Yes","Partial","Yes"
"mfraction","No","?","?","?"
"mglyph","No","No","?","?"
"mi","No","Yes","Partial","Yes"
"min","No","?","?","?"
"minus","No","?","?","?"
"mlabeledtr","No","?","?","?"
"mmultiscripts","No","Yes","?","?"
"mn","No","Yes","Partial","Yes"
"mo","No","Yes","Partial","Yes"
"mode","No","?","?","?"
"moment","No","?","?","?"
"momentabout","No","?","?","?"
"mover","No","Yes","Partial","Yes"
"mpadded","No","Yes","?","?"
"mphantom","No","Yes","Yes","Yes"
"mprescripts","No","?","?","?"
"mroot","No","Yes","Partial","Yes"
"mrow","No","Yes","Partial","Yes"
"ms","No","?","?","Yes"
"mspace","No","Yes","?","Yes"
"msqrt","No","Yes","Partial","Yes"
"mstyle","No","Yes","Partial","?"
"msub","No","Yes","Partial","Yes"
"msubsup","No","Yes","Partial","Yes"
"msup","No","Yes","Partial","Yes"
"mtable","No","Yes","Partial","Yes"
"mtd","No","Yes","Partial","Yes"
"mtext","No","Yes","Partial","Yes"
"mtr","No","Yes","Partial","Yes"
"munder","No","Yes","Partial","Yes"
"munderover","No","Yes","Partial","Yes"
"naturalnumbers","No","?","?","?"
"neq","No","?","?","?"
"none","No","?","?","?"
"not","No","?","?","?"
"notanumber","No","?","?","?"
"notin","No","?","?","?"
"notprsubset","No","?","?","?"
"notsubset","No","?","?","?"
"or","No","?","?","?"
"otherwise","No","?","?","?"
"outerproduct","No","?","?","?"
"partialdiff","No","?","?","?"
"pi","No","?","?","?"
"piece","No","?","?","?"
"piecewice","No","?","?","?"
"piecewise","No","?","?","?"
"plus","No","?","?","?"
"power","No","?","?","?"
"primes","No","?","?","?"
"product","No","?","?","?"
"prsubset","No","?","?","?"
"quotient","No","?","?","?"
"rationals","No","?","?","?"
"real","No","?","?","?"
"reals","No","?","?","?"
"reln","No","?","?","?"
