"","Trident","Gecko","WebKit","Presto","",""
"Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules"
"CSS3","@font-face","3.1","1.9.1","525","2.2",""
"Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules","Grammar and rules"
"CSS3","@font-face","3.1","1.9.1","525","2.2",""
"Descriptors","Descriptors","Descriptors","Descriptors","Descriptors","Descriptors","Descriptors"
"CSS3","font-family","3.1","1.9.1","525","2.2",""
"CSS3","src","Partial","1.9.1","525","2.2",""
"CSS3","font-style","3.1","1.9.1","525","2.2",""
"CSS3","font-weight","3.1","1.9.1","525","2.2",""
"CSS3","font-stretch","5.0","9.0","No","No",""
"CSS3","unicode-range","5.0","No","Partial","",""
"CSS3","font-variant","No","24.0","No","No",""
"CSS3","font-feature-settings","6.0","Experimental","","",""
