"","Real","Complex","SPD","HPD","SY","HE","BND","TF","OF","EVD","SVD","GEVD","GSVD"
"ALGLIB","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No"
"ATLAS","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
"GNU Scientific Library","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No"
"FinMath","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No"
"ILNumerics.Net","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"IMSL Numerical Libraries","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
"LAPACK","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MKL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NAG Numerical Library","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NMath","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"SciPy (Python packages)","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Eigen","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Armadillo","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
