"Products","Mail Server","DNSBL","SURBL","Spamtrap","Greylisting","SPF","DKIM","DMARC","Tarpit","Bayesian filters","Regular expression","Embedded Antivirus","Embedded Antispam"
"P41","","","","","","","","","","","","",""
"P1","agorum core","No","No","No","No","No","?","?","No","No","Yes","No","No"
"P2","Apache James","?","?","?","?","?","?","?","?","Yes","?","Yes ClamAV","Optional (Apache SpamAssassin)"
"P3","Atmail","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes ClamAV","Yes SpamAssassin and Exim ACLs"
"P4","Axigen","Yes","Yes","No","Yes","Yes","?","?","No","Yes, in SpamAssassin","Yes","Yes Commtouch","Yes SpamAssassin"
"P5","Citadel","Yes","Yes","No","No","Optional (via SpamAssassin)","?","?","No","Optional (via SpamAssassin)","No","Optional (ClamAV)","Optional (SpamAssassin)"
"P6","CommuniGate Pro","Yes","Yes","Yes","No","Yes","?","?","Yes","Optional","Yes","Optional (ClamAV)","Optional (via SpamAssassin)"
"P7","Courier Mail Server","Yes","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes Clamav","Yes"
"P8","Dovecot","?","?","?","?","?","?","?","?","?","?","?","?"
"P9","Eudora Internet Mail Server","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?"
"P10","Exim","Yes","Yes","Yes","Yes","Optional at build time","Yes","Optional at build time","Yes","Optional with spamassassin etc.","Yes","Optional any","Optional any"
"P11","FirstClass","Yes","Yes","No","?","Yes","?","?","Yes","Yes","Yes","Yes Symantec","?"
"P12","Gordano Messaging Suite","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes Commtouch, Authentium","Yes Commtouch"
"P13","GroupWise","Yes","?","?","?","?","?","?","?","?","?","?","?"
"P14","Haraka","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Optional with spamassassin etc.","Yes","Optional ClamAV, AVG, any via plugins","Optional SpamAssassin, MessageSniffer"
"P15","hMailServer","Yes","Yes","No","Yes","Yes","Yes","?","No","No","Yes","Yes ClamAV","Yes SpamAssassin"
"P16","IBM Lotus Domino","Yes","?","?","?","No","?","?","?","?","?","?","?"
"P17","IceWarp Mail Server","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes"
"P18","Ipswitch IMail Server","Yes","Yes","No","No","Yes","?","?","No","Yes","Yes","Yes Symantec, BitDefender","Yes Commtouch"
"P19","Kolab","Yes","?","?","Yes","Yes","?","?","?","Optional with spamassassin etc.","Yes","Optional (via content filter interface)","Optional (via content filter interface)"
"P20","Kerio Connect","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Optional Sophos + optional secondary (dual)","Yes"
"P21","MagicMail","Yes","No","Yes","No","?","?","?","?","No","Yes","Yes","Yes"
"P22","Mailsite","Yes","Yes","Yes","Yes","Yes","?","?","No","Yes","Yes","Yes","Yes"
"P23","Mailtraq","?","?","?","?","?","?","?","?","?","?","?","?"
"P24","MDaemon Mail Server","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Optional Kaspersky Lab","Yes"
"P25","Mercury Mail Transport System","Yes","?","?","Yes (GreyWall extension)","?","?","?","?","Yes (SpamHalter extension)","?","Yes (ClamWall extension)","?"
"P26","Microsoft Exchange Server","Yes (2003 & later)","?","?","Yes","Yes","?","?","Yes (2003 & later)","?","?","?","?"
"P27","Momentum","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P28","NetMail","?","?","?","?","?","?","?","?","?","?","?","?"
"P29","OpenSMTPD","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"P30","Oracle Communications Messaging Server","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Optional with spamassassin etc.","Yes","Optional any","Optional any"
"P31","Postfix","Yes","?","?","Yes","Yes","Optional","Optional","?","Optional with spamassassin etc.","Yes","Optional (via content filter interface)","Optional (via content filter interface)"
"P32","qmail","?","?","?","Yes","?","?","?","?","No","?","No","No"
"P33","Sendmail","Yes","Yes (via milter/SA)","?","Yes","Optional","Optional","Optional","?","Optional with spamassassin etc.","?","Yes ClamAV","Yes SpamAssassin"
"P34","SparkEngine","?","?","?","?","?","?","?","?","?","?","?","?"
"P35","Synovel Collabsuite","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","YClamAV","Yes SpamAssassin"
"P36","UW IMAP","?","?","?","?","?","?","?","?","?","?","?","?"
"P37","WinGate","?","?","?","?","?","?","?","?","?","?","?","?"
"P38","Zarafa","External","External","External","External","External","External","External","External","External","External","External","External"
"P39","Zimbra","Yes","?","?","?","Yes","Yes","?","Yes","Yes","?","Yes ClamAV","Yes SpamAssassin"
"P40","","","","","","","","","","","","",""
