"","PVE Group Instances","PVE Raid Instances","Open-world PVE Raid Content","PVP Group Instances","PVP Raid Instances","Open-world PVP Raid Content","Item appearance customization","Auction House / Broker","Jumping","Swimming","Mounts","Guild Housing"
"Aion: The Tower of Eternity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No (In development)"
"Anarchy Online","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Asheron's Call","","","","","","","","","","","",""
"City of Heroes","","","","","","","","","","","",""
"Dark Age of Camelot","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DarkSpace","","","","","","","","","","","",""
"Dofus","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes"
"Dragon Oath","","","","","","","","","","","",""
"Dungeons & Dragons Online: Stormreach","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes"
"EVE Online","Yes","Yes","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","N/A","No 
(In development)"
"EverQuest","","","","","","","","","","","",""
"EverQuest II","Yes","Yes","Yes","Yes","No","Partial","No 
(In development)","Yes","Yes","Yes","Yes","Yes"
"Final Fantasy XI","","","","","","","","","","","",""
"Guild Wars","Yes","Partial","No","Yes","No","No","Yes","No","No","No","No","Yes"
"Guild Wars 2","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No
(in development)"
"Knight Online","","","","","","","","","","","",""
"The Lord of the Rings Online: Shadows of Angmar","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Lineage II","","","","","","","","","","","",""
"MapleStory","Yes","Yes","Yes","Yes","No","No","Yes","Partial","Yes","No","Yes","No"
"Perfect World","","","","","","","","","","","",""
"Pirates of the Burning Sea","","","","","","","","","","","",""
"Ragnarok Online","","","","","","","","","","","",""
"Rift (video game)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rise: The Vieneo Province","","","","","","","","","","","",""
"RuneScape","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes"
"Ryzom","No","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes"
"Star Trek Online","Yes","Yes","No","Yes","Yes","Yes","Partial","Yes","Yes","No","No","Yes"
"Star Wars Galaxies","","","","","","","","","","","",""
"Star Wars The Old Republic","Yes","Yes","Yes","No (soon)","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Tabula Rasa","","","","","","","","","","","",""
"Tibia","","","","","","","","","","","",""
"Ultima Online","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes"
"Vendetta Online","","","","","","","","","","","",""
"Warhammer Online: Age of Reckoning","Yes","No","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"WonderKing Online","","","","","","","","","","","",""
"World of Warcraft","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
