"Card","Width (mm)","Length (mm)","Thickness (mm)","Volume (mm³)","Mass (g)"
"CompactFlash, Type I","43.0","36.0","3.3","5,108","3.3"
"CompactFlash, Type II","43.0","36.0","5.0","7,740",""
"SmartMedia","37.0","45.0","0.76","1,265","2.0"
"MMC, MMCplus","24.0","32.0","1.4","1,075","1.3"
"RS-MMC, MMCmobile","24.0","18.0","1.4","605","1.3"
"MMCmicro","14.0","12.0","1.1","185",""
"SD, SDHC, SDXC, SDIO","24.0","32.0","2.1","1,613","2.0"
"miniSD, miniSDHC, miniSDIO","20.0","21.5","1.4","602","1.0"
"microSD, microSDHC, microSDXC","11.0","15.0","1.0","165","0.27"
"Memory Stick Standard, PRO","21.5","50.0","2.8","3,010","4.0"
"Memory Stick Duo, PRO Duo, PRO-HG, XC","20.0","31.0","1.6","992","2.0"
"Memory Stick Micro (M2), XC","12.5","15.0","1.2","225","2.0"
"XQD card","38.5","29.8","3.8","",""
"xD","25.0","20.0","1.78","890","2.8"
"USB","varies","varies","varies","varies","varies"
