"Products","Client","First public release","First public release","First stable release","First stable release","Latest stable release"
"Products","Client","Date","Version","Date","Version","Latest stable release"
"P25","","","","","",""
"P1","AndroidChat","2008","","","","2008-12-29 (December 29, 2008; 6 years ago)"
"P2","AndChat","June 14, 2009","0.05","","","1.3.4.1 (January 9, 2011; 4 years ago)"
"P3","Colloquy (software)","January 28, 2009","1.0","","","2.4.3 (6011) (March 22, 2014; 14 months ago)"
"P4","CoolIRC","","","","","3.1 (June 16, 2007; 7 years ago)"
"P5","Dump Chat","May 18, 2013","1.0","May 18, 2013","1.0",":Template:Latest stable software release/Dump Chat"
"P6","EbIRC","September 24, 2006","0.01","","","0.19 (February 18, 2009; 6 years ago)"
"P7","Foo IRC","May, 2014","2.5","","",":Template:Latest stable software release/Foo IRC"
"P8","fIRC","December 22, 2008","0.1.0","","","0.2.11 (March 26, 2009; 6 years ago)"
"P9","IRC7","September 5, 2011","","","","1.7 (February 10, 2012; 3 years ago)"
"P10","JedIrc","2007","","","","3.2.4 (June 17, 2009; 5 years ago)"
"P11","jmIrc","May 14, 2004","0.60","","","0.96 (November 23, 2009; 5 years ago)"
"P12","k-IRC","August 20, 2002","1.0","","","1.1 (October 4, 2003; 11 years ago)"
"P13","MtvIRC","","","","","2.3 (June 12, 2009; 5 years ago)"
"P14","Palaver","August 24, 2012","1.0","August 24, 2012","1.0","1.1 (February 15, 2013; 2 years ago)"
"P15","PSPIRC","July 20, 2007","1.0.1","","","1.6 (September 12, 2007; 7 years ago)"
"P16","Relay IRC","March 19, 2014","1.0","March 19, 2014","1.0","1.0 (March 19, 2014; 14 months ago)"
"P17","upIRC","September 18, 2001","1.0.0","","","3.8.3 (September 3, 2004; 10 years ago)"
"P18","Virca","2003","0.0.1","","","1.1.20 (November 22, 2004; 10 years ago)"
"P19","wIRC","","","","","0.3.2 (September 6, 2010; 4 years ago)"
"P20","WirelessIRC","","","","","1.22 (June 12, 2007; 7 years ago)"
"P21","WLIrc","September 15, 2003","0.90","","","2.0.1 (August 16, 2007; 7 years ago)"
"P22","Yaaic","March 14, 2010","0.1","","","0.9 (July 17, 2011; 3 years ago)"
"P23","zsIRC","June 13, 2006","","","","2009.12.26 (December 26, 2009; 5 years ago)"
"P24","","","","","",""
