"Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice","Sound and Voice"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry 10","Mer","Tizen","Sailfish OS","Ubuntu Touch"
"Separate volume for ringtone and media","Yes","Yes","Yes","8.1+","Yes","?","?","Yes","?"
"Voice commands","5+ (Siri)","Yes","No","8.1+ Microsoft Cortana","Yes","?","?","No","?"
"Offline voice commands","Yes","No","No","Limited, Playback control not available","No","?","?","No","?"
"Voice recognition","5+ (Siri)","Yes","3rd party software","8.1+ Microsoft Cortana","Yes","?","?","No","?"
"Offline voice recognition","Limited, only calling and music playback","4.1+","No","Limited, only calling and launching apps","No","No","No","No","?"
"Non-English voice recognition","Yes","Yes","No","Yes","Yes","?","?","No","?"
"Sound recorder","3+: Limited (Not voice controlled)","Very limited (Doesn't work in background and not voice controlled)","No","10+: Quite limited (doesn't work in background), for older versions: 3rd party software, also similarly limited","10+ Embedded into Remember app, works in background but not voice controlled. 7.1 and older: Very limited (Doesn't work in background and not voice controlled)","?","Partial","3rd party software","?"
"Call recorder","Prevented by OS restrictions, but possible with 3rd party software on jailbroken devices","Prevented by OS restrictions, but possible with 3rd party firmware","No","No","With third-party software","?","?","3rd party software on 1.1+","?"
"Sound trim","Yes","No, but 3rd party software available","No","3rd party software","?","?","?","?","?"
