"Driver","Chipset","Integration","Free firmware","License","Development","Free software"
"ath","Atheros AR5211/ AR5212/ AR5213/ AR5214","Integrated with Solaris Nevada build 29","No firmware required","Dual GPL/BSD with proprietary HAL","Port of Madwifi","No"
"ipw","Intel PRO/Wireless 2100","Community project","No","BSD","Ported from OpenBSD","Yes"
"iwi","Intel PRO/Wireless 2200BG/2225BG/2915ABG","Community project","No","BSD","Ported from OpenBSD","Yes"
"pcan","Cisco Aironet 340/350","Community project","N/A","BSD","Ported from FreeBSD","Yes"
"pcwl","Lucent/Agere Systems Hermes (WaveLAN/ORiNOCO), Intersil PRISM-2 802.11b","Community project","N/A","BSD","Ported from FreeBSD","Yes"
"ral","Ralink RT2500","Community project","N/A","BSD","Ported from OpenBSD","Yes"
"rtw","Realtek RTL8180L","Community project","N/A","BSD","Ported from NetBSD","Yes"
"malo","Marvell 88W8335/ 88W8310","Community project","N/A","BSD","Ported from OpenBSD","Yes"
"wpi","Intel PRO/Wireless 3945ABG","Community project","No","BSD","Ported from OpenBSD","Yes"
"iwk","Intel Wireless WiFi Link 4965AGN","Community project","No","BSD","Ported from OpenBSD","Yes"
"arn","Atheros Atheros 9000","Community project","No","BSD","based on ath9k","Yes"
"rwd","Ralink Ralink RT2561/RT2561S/RT2661","Community project","No","BSD","","Yes"
"rwn","Ralink Ralink RT2700/2800","Community project","No","BSD","","Yes"
"urtw","RealTek RealTek RTL8187L/B USB","Community project","No","BSD","","Yes"
"atu","Atmel Atmel AT76C50x","Community project","No","BSD","","Yes"
"mwl","Marvell Marvell 88W8363","Community project","No","BSD","","Yes"
"ural","Ralink Ralink RT2500USB","Community project","No","BSD","","Yes"
"zyd","ZyDAS ZD1211 chipsets","Community project","Yes","BSD","Ported from OpenBSD","Yes"
