"Products","Name","Creator","Initial public release","Predecessor","Current stable version","Release date","Cost, availability","Preferred license","Target system type"
"P1","AIX","IBM","1986","UNIX System V Release 3","7.1 TL3","2013","Bundled with hardware","Proprietary","Server, NAS, workstation"
"P2","Android","Android, Inc., Google","2008","Linux","5.1 Lollipop","2015, March 9","Free","Apache 2.0, GNU GPLv2","Consumer, enterprise, military, education"
"P3","AmigaOS classic","Commodore International, Haage & Partner, Hyperion Entertainment","1985","TRIPOS (as the disk operating component of AmigaOS)","3.9","2000, December 4","Discontinued; Bundled with hardware up to version 3.0 (Amiga International hardware came with 3.1); versions 2.1, 3.0, 3.1, 3.5, 3.9 also available as separate packages","Proprietary, open source clone available under AROS Public License","Workstation, personal computer"
"P4","AmigaOS 4","Hyperion Entertainment","2004","AmigaOS classic","4.1 Final Edition","2014","4.0 bundled with hardware; 4.0 for classic and 4.1 available as standalone package at €29","Proprietary","Workstation, personal computer"
"P5","eComStation","Serenity Systems, Mensys BV","2001","OS/2","2.1","2011","Home-student edition (max. five per site) US$149.00
business edition $259.00","Proprietary","Server, workstation, personal computer"
"P6","EPOC32","Psion PLC","1996","","ER5","1999","Discontinued; Commercial","Proprietary","PDA"
"P7","FreeBSD","The FreeBSD Project","1993","386BSD","10.1","2014, November 14","Free","BSD","Server, workstation, NAS, embedded"
"P8","GhostBSD","Eric Turgeon","2009","FreeBSD","4.0","2014, October 3","Free","BSD","Desktop, workstation"
"P9","DragonFly BSD","Matthew Dillon","2003","FreeBSD","4.0.3","2015, January 21","Free","BSD","Server, workstation, NAS, embedded"
"P10","Haiku","Haiku Inc.","2009","BeOS R5","R1/Alpha4","2012","Free","MIT","Personal computer"
"P11","HP-UX","Hewlett-Packard","1983","UNIX System V","11.31, 11i v3 Update 13","2014, March","US$400","Proprietary","Server, workstation"
"P12","IBM i","IBM","1988","OS/400","7.2","2014, May 2","Bundled with hardware","Proprietary","Server"
"P13","Inferno","Bell Labs","1997","Plan 9","Fourth Edition","2007","Free","MIT, GNU GPL, GNU LGPL, LPL","NAS, server, embedded"
"P14","iOS","Apple Inc.","2007","OS X","8.3","2015, April 8","Bundled with hardware and free updates given to most existing users, subject to hardware requirements","Proprietary higher level API layers; open source core system (ARM versions): APSL, GNU GPL, others","Smartphone, music player, tablet computer"
"P15","IRIX","SGI","1988","UNIX System V","6.5.30","2006","Discontinued; Bundled with hardware","Proprietary","Server, workstation"
"P16","Linux","Linus Torvalds, et al.","1991 Unix, MINIX","Linux kernel","4.0.3","2015, May  13","Free","GNU GPLv2","See: Comparison of Linux distributions"
"P17","Mac OS","Apple Inc.","1984","None","9.2.2","2000","Discontinued; Was bundled with 68k and PowerPC Macs;
versions 7-9 sold as retail upgrades","Proprietary","Workstation, personal computer"
"P18","(Mac) OS X","Apple Inc.","2001","NeXTSTEP, BSD","10.10.3 Yosemite","2015, April 8","Bundled with hardware; No-cost update via Mac App Store for users of OS X 10.6 or later, assuming hardware requirements are met","Proprietary higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others","Workstation, personal computer, embedded"
"P19","(Mac) OS X Server","Apple Inc.","2001","NeXTSTEP, BSD","10.10","2014","Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of Mac OS X; US$19.99 on the Mac App Store","Proprietary higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others","Server"
"P20","MPE","HP","1974","None","MPE-V","1988","Discontinued; Was bundled with HP-3000 CISC hardware ""Classic""","Proprietary","Server"
"P21","MCP","Unisys","1961","None","CP OS 17.0","2015, April","Bundled with hardware","Proprietary","Server"
"P22","MPE/XL","HP","1987","MPE","7.5","2002","Discontinued; Was bundled with HP-3000 PA-RISC hardware","Proprietary","Server"
"P23","MINIX 3","Andrew S. Tanenbaum","2005","Minix2","3.3.0","2014","Free","BSD","Workstation"
"P24","NetBSD","The NetBSD Project","1993","386BSD","6.1.5","2014, September 22","Free","BSD","NAS, server, workstation, embedded"
"P25","NetWare","Novell","1985","S-Net","6.5 SP8","2009, May 6","Superseded by Novell Open Enterprise Server; Was US$184 (one-user)","Proprietary","Server"
"P26","NeXTSTEP","NeXT","1989","Unix","3.3","1995","Discontinued; Was bundled with hardware, then sold separately","Proprietary","Workstation"
"P27","OpenBSD","The OpenBSD Project","1995","NetBSD 1.0","5.7","2015, May 1","Free","ISC","Server, NAS, workstation, embedded"
"P28","OpenIndiana","Many, based on software developed by Sun Microsystems and many others","2010","OpenSolaris","","2010, December 17","Free","CDDL","Server, workstation"
"P29","OpenVMS","DEC (now HP)","1977","RSX-11M","8.4-1H1","2015, June 1","Commercial, free non-commercial use","Proprietary","Server, workstation"
"P30","OS 2200","Unisys","1967 as Exec 8e","Exec 8, OS 1100","CP OS 16 (Exec 49.2)","2015, February 27","Bundled with hardware","Proprietary","Server"
"P31","OS/2","IBM and Microsoft","1987","Unix, Windows 3.x","4.52","2001","Discontinued (see eComStation successor); Was US$300","Proprietary","Personal computer, server"
"P32","PC-BSD","PC-BSD Software","2006","FreeBSD","10.1","2014, November 16","Free","BSD","Personal computer, workstation, server"
"P33","Plan 9","Bell Labs","1993","Unix","Fourth Edition","(Daily snapshots)","Free","LPL","Workstation, server, embedded, HPC"
"P34","QNX","QNX Software Systems","1982","Unix, POSIX","6.6.0","2014","Bundled with BlackBerry 10 and PlayBook devices. Commercial; an academic version exists that needs authorization code before installing","Proprietary","Automotive, medical, smartphones, consumer, industrial, embedded, safety"
"P35","Solaris","Sun","1992","SunOS","11.2","2014, April 29","Commercial; (but free/no-cost perpetual license when used ""for the purpose of developing, testing, prototyping and demonstrating your applications"")","CDDL","Server, workstation"
"P36","Symbian","Symbian Ltd.","1998","EPOC32","9.5","2009","Discontinued; Commercial","Proprietary","Phones"
"P37","Symbian platform","Symbian Foundation","2010","Symbian","3.0.4","2010","Free","EPL","embedded"
