"Name","Rectilinear lenses (i.e. normal camera lenses)","Fish eye lenses","Partial or full (spherical) panoramas or images from panoramic camera","Different focal length in single panorama","Different lens types in single panorama","Perspective correction lens","Other/Notes"
"Panoweaver Standard / Professional","Yes","Yes","Yes","Yes","Yes","Yes",""
"i2Align Quickage Express / Pro","Yes","No","No","?","?","No",""
"Pixtra PanoStitcher","Yes","No","No","Yes","No","No",""
"Pixtra OmniStitcher","Yes","Yes","No","Yes","No","No",""
"PhotoFit Harmony / Premium","Yes","No","No","No","No","No",""
"PanoramaPlus X4","Yes","No","No","No","No","No",""
"PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro","Yes","No","No","No","No","No",""
"360 Panorama Professional","Yes","No","No","No","No","No",""
"VRstitcher Fisheye Pro","Yes","Yes","No","No","No","No",""
"COOL 360","Yes","No","No","No","No","No",""
"PanaVue ImageAssembler Std. / Pro. / Ent.","Yes","Yes*","No","No","No","?","*) Circular fish eyes not supported, diagonal fish eyes up to 180 degree field of view."
"The Panorama Factory v5","Yes","No","No","No","No","",""
"PixMaker Lite / Home / Business","Yes","No","No","No","No","No",""
"PTAssembler","Yes","Yes","Yes","Yes","Yes","Yes",""
"PTgui / PTgui Pro","Yes","Yes","Yes","Yes","Yes","Yes",""
"Autopano Pro / Giga / Server","Yes","Yes","No","Yes","Yes","Yes","Also supports motorized panoramic heads, in Giga & Pro versions."
"Autostitch","Yes","?","No","No","Yes","?",""
"Calico Panorama","Yes","No","No","No","No","No",""
"hugin","Yes","Yes*","Yes","Yes","Yes","Yes","* As of v2010.2 onwards, all known fish eye projections are supported (equisolid, orthographic, stereographic)"
"3DVista Stitcher 3.0","Yes","Yes","No","No","No","No","""One shot"" i.e. panoramic mirror lenses also supported."
"D Joiner","Yes","No","No","No","No","No",""
"Panorama Maker 6","Yes","No","No","No","No","No",""
"Photovista Panorama","Yes","No","No","No","No","No",""
"PanoramaStudio 2 / Pro","Yes","No","No","No","No","No",""
"Stitcher Unlimited 2009","Yes","Yes","Yes","?","?","No",""
"ADG Panorama Tools / Pro","Yes","No","Yes*","No","No","No","*) Cylindrical only"
"Panorama Composer 3","Yes","No","No","No","No","No",""
"Image Composite Editor","Yes","No","No","No","No","No",""
"Panorama Perfect","Yes","No","No","No","No","No",""
"Photoshop","Yes","No","No","No","No","No",""
"AIPR Lite 1","Yes","No","No","Yes","Yes","Yes*","(*) homographic model compensates for these type of lenses"
"Gigapan Stitch 1.0","Yes","No","Yes","No","No","No",""
"PanoramaMaker","Yes","?","?","Yes","?","?",""
"PanoEdit","Yes","No","No","No","No","?",""
"SharpStitch","Yes","No","No","No","No","No",""
"","","","","","","",""
