"Languages","Size","First","Last"
"Ada","","",""
"ALGOL 68","etc.","etc.","etc."
"C#, Visual Basic .NET, Windows PowerShell, F#","","",""
"CFML","","",""
"Ch","","",""
"Cobra","","",""
"Common Lisp","","",""
"Fortran","","",""
"Go","","",""
"Haskell","","",""
"Haxe","","",""
"ISLISP","","",""
"Java, JavaScript, D, Scala","","",""
"J","","",""
"Lua","","",""
"Mathematica","","",""
"MATLAB, GNU Octave, Julia","","",""
"Object Pascal","","",""
"Objective-C (NSArray * only)","","",""
"OCaml","","",""
"Perl","","",""
"Perl 6","@","",""
"PHP","$","","$"
"Python","","",""
"Ruby","","",""
"Rust","","",""
"S-Lang","","",""
"Scheme","","",""
"Smalltalk","","",""
"Visual Basic","","",""
"Xojo","","",""
