"","read from","write to","write to"
"","stdin","stdout","stderr"
"Ada","","",""
"ALGOL 68","","",""
"C (C99)","","",""
"Objective-C","","",""
"C++","","",""
"C#","","",""
"D","","",""
"Java","","",""
"Go","","",""
"Swift","(2.x)","(2.x)
  (1.x)",""
"JavaScript
Web Browser implementation","","",""
"JavaScript
Active Server Pages","","",""
"JavaScript
Windows Script Host","","",""
"Common Lisp","","",""
"Scheme (RRS)","","",""
"ISLISP","","",""
"Pascal","","","N/A"
"Visual Basic","","",""
"Visual Basic .NET","","",""
"Xojo","","",""
"Python 2.x","","",""
"Python 3.x","","",""
"S-Lang","","",""
"Fortran","","",""
"Forth","","","N/A"
"PHP","","",""
"Perl","","",""
"Perl 6","","",""
"Ruby","","",""
"Windows PowerShell","","",""
"OCaml","","",""
"F#","","",""
"Standard ML","","",""
"Haskell (GHC)","","",""
"COBOL","ACCEPT x","DISPLAY x",""
