"","throw","handler","assertion"
"Ada","","",""
"C (C99)","","",""
"C++","","",""
"C#","","",""
"Java","","",""
"JavaScript","","","?"
"D","","",""
"PHP","","",""
"S-Lang","","","?"
"Windows PowerShell","","",""
"Objective-C","","",""
"Swift","(2.x)","(2.x)",""
"Perl","","","?"
"Perl 6","","","?"
"Ruby","","",""
"Smalltalk","","",""
"Common Lisp","","",""
"Scheme (RRS)","","","?"
"ISLISP","","","?"
"Pascal","","","?"
"Visual Basic","","",""
"Visual Basic .NET","","",""
"Xojo","","","N/A"
"Python","","",""
"Fortran","N/A","",""
"Forth","","","N/A"
"OCaml","","",""
"F#","","",""
"Standard ML","","",""
"Haskell (GHC)","","",""
"COBOL","","","N/A"
