"","construction","destruction"
"ABAP Objects","",""
"C++ (STL)","",""
"C#","",""
"Java","",""
"D","",""
"Objective-C (Cocoa)","",""
"Swift","",""
"Python","",""
"Visual Basic .NET","",""
"Xojo","",""
"Eiffel","",""
"PHP","",""
"Perl 5","",""
"Perl 6","",""
"Ruby","",""
"Windows PowerShell","",""
"OCaml","",""
"F#","",""
"Smalltalk","""The class is an Object.
Just send a message to a class, usually  or , and many others, for example:""",""
"JavaScript","",""
"Object Pascal / Delphi","",""
"Scala","",""
"COBOL","INVOKE class ""NEW"" RETURNING variable or 
 MOVE class::""NEW"" TO variable",""
"Cobra","",""
