"","object member","object member","object member","class member","namespace member"
"","method","field","property","class member","namespace member"
"ABAP Objects","","","N/A","","N/A"
"C++ (STL)","","","","",""
"Objective-C","","","","",""
"Smalltalk","","N/A","","",""
"Swift","","","","",""
"C#","","","","",""
"Java","","","N/A","",""
"D","","","","",""
"Python","","","","",""
"Visual Basic .NET","","","","",""
"Xojo","","","","",""
"Windows PowerShell","","","","",""
"F#","","N/A","","",""
"Eiffel","","","","","N/A"
"Ruby","","N/A","","",""
"PHP","","","","",""
"Perl","","","","",""
"Perl 6","","","","",""
"OCaml","","N/A","","",""
"JavaScript","","","","N/A","N/A"
"COBOL","INVOKE x ""method"" «USING parameters» «RETURNING result» or

x::""method""«(«parameters»)»","N/A","property OF x","INVOKE cls ""method"" «USING parameters» «RETURNING result» or

cls::""method""«(«parameters»)» or

property OF cls","N/A"
"Cobra","","","","",""
