"Format","Languages"
"changestr(find, string, replace)","REXX"
"std.string.replace(string, find, replace)","D"
"Replace(string, find, replace)","VB"
"replace(string, find, replace)","Seed7"
"string.Replace(find, replace)","VB .NET, C#, F#"
"str_replace(find, replace, string)","PHP"
"re:replace(string, find, replace, «{return, list}»)","Erlang"
"string.replace(find, replace)","Cobra, Python, Java (1.5+)"
"string.replaceAll(find_regex, replace)","Java"
"string.gsub(find, replace)","Ruby"
"string =~ s/find_regex/replace/g","Perl"
"string.replace(find, replace, ""g"")  or
 string.replace(/find_regex/g, replace)","JavaScript"
"echo ""string""  sed 's/find_regex/replace/g'","Unix"
"string.replace(find, replace), or
string -replace find_regex, replace","Windows PowerShell"
"Str.global_replace (Str.regexp_string find) replace string","OCaml"
"[string stringByReplacingOccurrencesOfString:find withString:replace]","Objective-C (NSString * only)"
"string.stringByReplacingOccurrencesOfString(find, withString:replace)","Swift (Foundation)"
"string.gsub(string, find, replace) 
 (string):gsub(find, replace)","Lua"
"string copyReplaceAll: find with: replace","Smalltalk (Squeak, Pharo)"
"string map {find replace} string","Tcl"
"StringReplace[string, find -> replace]","Mathematica"
"strings.Replace(string, find, replace, -1)","Go"
"INSPECT string REPLACING ALL/LEADING/FIRST find BY replace","COBOL"
