"Format","Languages",""
"string[startpos:endpos]","ALGOL 68 (changes base index)",""
"string (startpos .. endpos)","Ada (changes base index)",""
"Mid(string, startpos, numChars)","VB",""
"mid(string, startpos, numChars)","FreeBASIC",""
"MID$(string, startpos, numChars)","BASIC",""
"substr(string, startpos, numChars)","AWK (changes string), Perl, PHP",""
"substr(string, startpos «,numChars, padChar»)","REXX",""
"string[startpos:endpos]","Cobra, Python, Go",""
"string[startpos, numChars] 
 string[startpos .. endpos-1] 
 string[startpos ... endpos]","Ruby",""
"string[startpos .. endpos] 
 string[startpos len numChars]","Seed7",""
"string.slice(startpos«, endpos»)","JavaScript",""
"string.substr(startpos«, numChars»)","C++ (STL), JavaScript",""
"string.Substring(startpos, numChars)","VB .NET, C#, Windows PowerShell, F#",""
"string.substring(startpos«, endpos»)","Java, JavaScript",""
"copy(string, startpos, numChars)","Object Pascal (Delphi)",""
"(substring string startpos endpos)","Scheme",""
"(subseq string startpos endpos)","Common Lisp",""
"(subseq string startpos endpos)","ISLISP",""
"String.sub string startpos numChars","OCaml",""
"substring (string, startpos, numChars)","Standard ML",""
"string:sub_string(string, startpos, endpos)
string:substr(string, startpos, numChars)","Erlang",""
"strncpy(result, string + startpos, numChars);","C",""
"string[startpos .. endpos+1]","D",""
"take numChars $ drop startpos string","Haskell",""
"[string substringWithRange:NSMakeRange(startpos, numChars)]","Objective-C (NSString * only)",""
"string.[startpos..endpos]","F#",""
"string.sub(string, startpos, endpos) 
 (string):sub(startpos, endpos)","Lua",""
"string copyFrom: startpos to: endpos","Smalltalk",""
"string(startpos:endpos)","Fortran",""
"SUBSTRING(string FROM startpos «FOR numChars»)","SQL",""
"StringTake[string, {startpos, endpos}]","Mathematica",""
"string[startpos .. endpos]","Ya","string (startpos:numChars)"
