"Language","Type safety","Type expression","Type compatibility and equivalence","Type checking"
"ActionScript 3.0","safe","implicit with optional explicit typing","","static"
"Ada","safe","explicit","nominal","static"
"Aldor","unsafe","implicit","","static"
"ALGOL 58","safe","explicit","","static"
"ALGOL 60","safe","explicit","","static"
"ALGOL 68","safe","explicit","structural","static & tagged union"
"APL","safe","","","dynamic"
"AutoHotkey","typeless","n/a","n/a","n/a"
"Ateji PX","safe","explicit","nominal","static"
"Bash","?","?","?","?"
"BASIC","safe","explicit","nominal","static"
"BLISS","typeless","n/a","n/a","n/a"
"BeanShell","safe","","nominal","dynamic"
"Boo","safe","implicit with optional explicit typing","","static with optional dynamic typing"
"Bro","safe","implicit with optional explicit typing","nominal","static"
"C","unsafe","explicit","nominal","static"
"C++ (ISO/IEC 14882)","unsafe","explicit","nominal","static"
"C#","unsafe","implicit with optional explicit typing","nominal","static"
"Clean","safe","implicit","","static"
"Clojure","safe","implicit with optional explicit typing","","dynamic"
"COBOL","safe","explicit","nominal","static"
"ColdFusion (CFML)","safe","implicit","","dynamic"
"Common Lisp","safe","implicit with optional explicit typing","","dynamic"
"Curl","safe","","nominal",""
"Cython","safe","implicit with optional explicit typing","nominal (extension types) and structural (Python)","dynamic with optional static typing"
"D","unsafe","explicit","nominal","static"
"Dylan","safe","","","dynamic"
"Eiffel","safe","","nominal","static"
"Erlang","safe","implicit","","dynamic"
"Euphoria","safe","explicit, implicit with objects","nominal","static, dynamic with objects"
"F#","safe","implicit","nominal","static"
"Falcon","safe","implicit","structural","dynamic"
"Forth","typeless","n/a","n/a","n/a"
"Fortran","safe","explicit","nominal","static"
"Gambas","safe","explicit","nominal",""
"GLBasic","safe","explicit. Non-explicit declarations available through project options","nominal","static"
"Go","safe","implicit with optional explicit typing","structural","static"
"Gosu","safe","partially implicit (local type inference)","nominal (subclassing) and structural (structural)","static"
"Groovy","safe","implicit with optional explicit typing","","dynamic with optional static typing"
"Harbour","safe","implicit with optional explicit typing","","dynamic"
"Haskell","safe","implicit with optional explicit typing","structural","static"
"Haxe","safe","implicit with optional explicit typing","nominal (subclassing) and structural (structural)","static with optional dynamic typing"
"Io","safe","implicit","","dynamic"
"ISLISP","safe","","","dynamic"
"J","safe","","","dynamic"
"Java","safe","explicit","nominal","static"
"JavaScript","safe","implicit","structural","dynamic"
"Julia","safe","implicit with optional explicit typing","",""
"Joy","safe","","","dynamic"
"Kotlin","safe","partially implicit (local type inference)","nominal","static"
"LabVIEW","safe","","",""
"Lua","safe","implicit","","dynamic"
"Maple","safe","","","dynamic"
"Mathematica","safe","","","dynamic"
"MATLAB M-code","safe","","","dynamic"
"Modula-2","unsafe","explicit","nominal","static"
"Modula-3","unsafe","explicit","structural","static"
"MUMPS (M)","typeless","n/a","n/a","n/a"
"Oberon","safe","explicit","nominal","static and partially dynamic"
"Objective-C","safe","explicit","nominal","dynamic with optional static typing"
"OCaml","safe","implicit with optional explicit typing","structural (records are nominal)","static"
"Object Pascal (Delphi)","safe","explicit","nominal","static"
"Opa","safe","implicit with optional explicit typing","structural","static"
"Oxygene","unsafe","implicit","","static"
"Oz","safe","implicit","structural","dynamic"
"Pascal","unsafe","explicit","nominal","static"
"Perl 5","","implicit","","dynamic"
"Perl 6","","partially implicit","","dynamic with optional static typing"
"PHP","","implicit","","dynamic"
"Plus","safe","explicit","structural","static, dynamic (optional)"
"Prolog","","","","dynamic"
"Pure","","","","dynamic"
"Python","safe","implicit","structural","dynamic"
"REBOL","safe","implicit","","dynamic"
"Rexx","typeless","n/a, implicit wrt numbers","n/a","static+dynamic wrt numbers"
"RPG","unsafe","","","static"
"Ruby","safe","implicit","structural","dynamic"
"Rust","safe","implicit with optional explicit typing","","static with optional dynamic typing"
"S","","","","dynamic"
"S-Lang","safe","implicit","","dynamic"
"Scala","safe","partially implicit (local type inference)","nominal (subclassing) and structural (structural)","static"
"Scheme","safe","implicit","","dynamic (latent)"
"Seed7","safe","explicit","nominal","static"
"Simula","safe","","","static"
"Smalltalk","safe","implicit","","dynamic"
"Swift","safe","partially implicit (local type inference)","nominal (subclassing) and structural (structural)","static"
"Standard ML","safe","implicit with optional explicit typing","structural","static"
"Tcl","","","","dynamic"
"Visual Basic","safe","implicit with optional explicit typing","nominal","static"
"Visual Basic .NET","unsafe","explicit","","static"
"Visual Prolog","safe","partially implicit","nominal","static"
"Windows PowerShell","safe","implicit","","dynamic"
"XL","safe","","nominal","static"
"Xojo","safe","explicit","nominal","static"
"Language","Type safety","Type expression","Type compatibility among composites","Type checking"
