"Name","Developer","Status","First release","Based on","License","Source available"
"Dante client","Inferno Nettverk A/S","Active","November 16, 1998","","BSD","Yes"
"FreeCap","Max Artemev","N/A","2003","","GPL","Yes"
"Proxifier","Initex Software","Active","2004","","Proprietary (Shareware)","No"
"ProxyCap","Proxy Labs","Active","2002","","Proprietary (Shareware)","No"
"proxychains-ng","","Active","2012","proxychains","GPL","Yes"
"redsocks","Leonid Evdokimov","Active","","","Apache","Yes"
"SocksCap","NEC","N/A","June 16, 1997","","Proprietary","No"
"Super Socks5Cap","Networktunnel Lab","Active","2009","","Proprietary (Shareware)","No"
"torsocks","Robert Hogan","Active","2008","tsocks","GPL","Yes"
"tun2socks","Ambroz Bizjak","Active","2011","","BSD","Yes"
"WideCap","Max Artemev","N/A","","","Proprietary (Freeware)","No"
