"Name","SOCKS4","SOCKS4A","SOCKS5","SOCKS5","HTTP","HTTP","SSH1","SSH2"
"Name","SOCKS4","SOCKS4A","CONNECT","UDP ASSOCIATE","CONNECT","GET","SSH1","SSH2"
"Dante","Yes","No","Yes","Yes","Yes","No","No","No"
"FreeCap","Yes","No","Yes","Yes","Yes","No","No","No"
"Proxifier","Yes","Yes","Yes","No","Yes","Yes","No","No"
"ProxyCap","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"proxychains","Yes","No","Yes","No","Yes","No","No","No"
"redsocks","Yes","No","Yes","Yes","Yes","N/A","No","No"
"SocksCap","Yes","Yes","Yes","N/A","No","No","No","No"
"Super Socks5cap","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"tun2socks","No","No","Yes","No","No","No","No","No"
"WideCap","Yes","No","Yes","Yes","Yes","No","No","No"
