"Pump type","Cyclic/continuous ?","Maximum lift height","Production cost","Efficiency","Output","Size of device","Fabrication requirements","Difficulty of production","Durability","Difficulty of repair","Suction lift ?"
"Archimedean screw","continuous",">2m","medium","medium","medium-high","?","?","industrial","?","?","no"
"Chain (or rope) and washer pump","continuous","3m-20m","medium-high","medium-high","medium","?","?","traditional","?","?","no"
"Coil pump and spiral pump","continuous",">6m","medium","medium","low-medium","?","?","traditional","?","?","no"
"Diaphragm pump","cyclic","5m-10m","medium","medium-high","medium","?","?","industrial","?","?","yes"
"Flash wheel and treadmill",">2m","low-medium","low-medium","medium-high","?","?","?","traditional/industrial","?","?","no"
"Flexible vane pump","continuous","10m-20m","medium-high","medium","medium","?","?","industrial","?","?","yes"
"Gas or vapour displacement pump","cyclic","5m-50m","medium","medium","medium-high","?","?","industrial","?","?","no/yes"
"Gear and lobe pump","continuous","10m-20m","medium","low-medium","very low","?","?","industrial","?","?","yes"
"Open screw pump","continuous",">6m","high","medium-high","medium-high","?","?","industrial","?","?","no"
"Peristaltic pump","continuous",">3m","medium","medium","very low","?","?","industrial","?","?","yes"
"Petropump","continuous","10m-100m","medium-high","high","low-medium","?","?","industrial","?","?","?"
"Porous rope","continuous","3m-10m","?","?","low-medium","?","?","industrial","?","?","no"
"Progressive cavity pump (Moyno)","continuous","10m-100m","medium-high","medium-high","medium","?","?","industrial","?","?","no"
"Piston pump, bucket pump","cyclic","2m-200m","medium-high","high","medium","?","?","traditional/industrial","?","?","yes"
"Plunger pump","cyclic","100m-500m","high","medium-high","low-medium","?","?","traditional","?","?","yes"
"Pulser Pump","cyclic","1-300m","low-medium","low","low-medium","small-huge","?","traditional","very high","easy","no"
"Semi-rotary pump","cyclic","5m-10m","low-medium","low-medium","low-medium","?","?","industrial","?","?","yes"
"Water ladder","cyclic",">2m","medium","medium","medium","?","?","traditional","?","?","no"
