"","Description","Creator","First public release date","Latest stable version","Software license"
"Ability Photopaint","Graphics editor with some advanced features","Ability Software","March 2001","4","Proprietary"
"Adobe Fireworks","Alternative to Photoshop targeted at web designers, discontinued after CS6","Macromedia","1998","CS6 / 11.0","Proprietary"
"Adobe Photoshop","Professional image editor and graphics creation tool","John Knoll, Thomas Knoll","February 1990","CC / 14.0","Proprietary"
"Adobe Photoshop Lightroom","Photo editor","Adobe Systems","February 19, 2007","5.5.1","Proprietary"
"Autodesk SketchBook Pro","Paint and drawing toolset for use with digitized pen tablets & tablet computer","Alias","2004","2009 ( 3.1 )","Proprietary"
"ArtRage","Digital paint program for tablet computer","Ambient Design","2004","4.5.1","Proprietary"
"Artweaver","Emulates physical painting experience on a computer","Boris Eyrich","2002","3.0","Freeware"
"Bibble","Photo editor and organizer with camera raw file support","Bibble Labs","2000","5.2","Proprietary"
"Brush Strokes Image Editor","Image editor like Windows Paint","Paul Bird","2004","2.0","Freeware"
"Chasys Draw IES","Image Editor with layers, animation, icon edit, super-res, batch and camera raw","John Paul Chacha","2001","4.24","Freeware"
"CinePaint","Moving picture, photo and graphics editor","Robin Rowe","July 4, 2002","2011 (1.0)","GPL"
"CodedColor PhotoStudio Pro","An bitmap graphics editor and image organizer for Windows pc","1STEIN Corp.","2001","6.2","Proprietary"
"Corel PaintShop Pro","Advanced image editor and graphics creator","Jasc Software","1992","X7","Proprietary"
"Corel Painter","Made to create natural-looking artistic images","Mark Zimmer, Tom Hedges, John Derry","August, 1991","12","Proprietary"
"Corel PHOTO-PAINT","Professional image editor and graphics creator with advanced features","Corel Corporation","1992","X7/17","Proprietary"
"Cosmigo Pro Motion","Pixel and animation editor (8-bit-graphics) made after Deluxe Paint","Cosmigo; J.Zimmermann, L.Gischler, N.Mavrikakis","1997","6.5","Proprietary"
"darktable","Photography workflow application and raw developer","Johannes Hanika","April 2009","1.4.1","GPL 3"
"Deluxe Paint","Discontinued basic editor","Dan Silva","1985","5","Proprietary"
"Deneba Canvas","Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.","Jorge Miranda, Joaquin de Soto, Manny Menendez","September 1987","14","Proprietary"
"DigiKam","Free photo organizer and image editor","Renchi Raju, Gilles Caulier","2002","0.9.5 (KDE3) 3.0.0-RC (KDE4)","GPL"
"Digital Photo Professional","Photo organizer and image editor from Canon","Canon Inc.","?","4.2.10","Proprietary"
"Erdas Imagine","Advanced remote sensing and GIS ability;
handles multispectral images","ERDAS, Inc.","1980","2013 (11.0)","Proprietary"
"Fatpaint","Full featured web-based graphic design and photo editing application","Mersica Inc.","2010","1.99.55","Freeware"
"Fotografix","Freeware, portable image editor","L. Madhavan","April 14, 2009","1.5","Freeware"
"F-Spot","Image viewer and organizer for GNOME","Ettore Perazzoli","2005","0.8.2","GPLv2"
"G'MIC","Free command line software for 2D or 3D image processing and visualization","David Tschumperlé","October 2008","1.6.0.4","CeCILL"
"GIMP","Free image editor and graphics creator","Spencer Kimball, Peter Mattis","January 1996","2.8.14","GNU (L)GPLv3+ v2.7+"
"GimPhoto","Modification of the free and open source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop.","Ek Kian","?","1.4.3","GPLv2"
"GIMPshop","GIMP with a GUI similar to Adobe Photoshop","Scott Moschella","?","2.2.11","GPL"
"GNU Paint","Free and open source raster graphics editor","Andy Tai","","0.3.3","GPL"
"GrafX2","GrafX2 with a GUI similar to Deluxe Paint","Sunset Design (Guillaume Dorme, Karl Maritaud)","1996","2.1","GPL"
