"Software","HTML","LaTeX","RTF","Plain text","RSS","Other"
"Aigaion","Yes","No","Yes","Yes","?","No"
"Bebop","Yes","No","No","No","Yes","unAPI"
"BibBase","Yes","No","No","No","Yes","No"
"BibDesk","Yes","Yes","Yes","Yes","Yes","Atom, DOC, PDF, XML,"
"Biblioscape","Yes","No","Yes","Yes","No","No"
"BibSonomy","Yes","No","Yes","Yes","Yes","OpenOffice-CSV"
"Bibus","Yes","No","No","No","No","No"
"Bookends","Yes","No","Yes","Yes","No","clipboard"
"Citavi","Yes","Depends","Yes","Yes","No","clipboard, DOC, ODT, PDF, HTML"
"CiteULike","Yes","No","Yes","Yes","Yes","PDF"
"colwiz","Yes","Yes","Yes","No","No","PDF"
"Docear","Yes","?","Yes","Yes","No","clipboard"
"EndNote","Yes","No","Yes","Yes","No","clipboard, XML"
"JabRef","Yes","?","Depends","Yes","No","clipboard"
"KBibTeX","Yes","No","Yes","No","No","PDF, PS"
"Mendeley","Yes","No","Yes","Yes","Yes","clipboard, embeddable HTML widget, RSS"
"Paperpile","?","?","?","?","?","?"
"Papers","Yes","?","Yes","Yes","?","PDF"
"Pybliographer","Yes","?","No","Yes","No","No"
"ReadCube","Yes","No","No","No","No","PDF"
"refbase","Yes","Yes","Yes","Yes","Yes","Markdown, PDF, unAPI"
"RefDB","Yes","?","Yes","Yes","No","DocBook, TEI"
"Reference Manager","Yes","No","Yes","Yes","No","clipboard"
"Referencer","?","?","?","?","?","?"
"RefWorks","Partial","No","Yes","Yes","Yes","DOC, ODT"
"SciRef","No","No","Yes","Yes","No","Doc, others"
"Sente","Yes","No","Yes","Yes","No","clipboard"
"Wikindx","Yes","No","Yes","No","Yes","No"
"WizFolio","Yes","No","Yes","Yes","No","clipboard, DOC"
"Zotero","Yes","No","Yes","No","Yes","clipboard"
