"Name","Official website","Programming language","Software license","Used by"
"Boost.Regex","Boost C++ Libraries","C++","Boost"," "
"Boost.Xpressive","Boost C++ Libraries","C++","Boost"," "
"CL-PPCRE","Edi Weitz","Common Lisp","BSD"," "
"cppre","Jeff Stuart","C++","GPL"," "
"DEELX","RegExLab","C++","Free personal and commercial use"," "
"FREJ","Fuzzy Regular Expressions for Java","Java","LGPL"," "
"GLib/GRegex","Marco Barisione","C","LGPL"," "
"GRETA","Microsoft Research","C++","?"," "
"ICU","International Components for Unicode","C, C++","ICU"," "
"Jakarta/Regexp","The Apache Jakarta Project","Java","Apache"," "
"java.util.regex","Java's User manual","Java","Java license","jEdit"
"JRegex","JRegex","Java","BSD"," "
"Oniguruma","Kosako","C","BSD"," "
"Pattwo","Stevesoft","Java (compatible with Java 1.0)","LGPL"," "
"PCRE","pcre.org","C, C++","BSD","Nginx, Julia, HHVM"
"Qt/QRegExp","Digia","C++","Qt GNU GPL v. 3.0,
Qt GNU LGPL v. 2.1,
Qt Commercial","Kate, Kile"
"regex - Henry Spencer's regular expression libraries","ArgList","C","BSD"," "
"RE2","Google Code","C++","BSD"," "
"Henry Spencer's Advanced Regular Expressions","Tcl","C","BSD"," "
"TRE","Ville Laurikari","C","BSD"," "
"TPerlRegEx","TPerlRegEx VCL Component","Object Pascal","MPLv1.1"," "
"TRegExpr","RegExp Studio","Object Pascal","Dual-license: freeware, or LGPL with static linking exception"," "
"RGX","RGX","C++ based component library","P6R"," "
"XRegExp","XRegExp","JavaScript","MIT"," "
