"","R-/R+ tree","Hash","Expression","Partial","Reverse","Bitmap","GiST","GIN","Full-text","Spatial","FOT"
"4th Dimension","?","Cluster","?","?","?","?","?","?","Yes","?","?"
"ADABAS","?","?","?","?","?","?","?","?","?","?","?"
"Adaptive Server Enterprise","No","No","Yes","No","Yes","No","No","No","Yes","?","?"
"Advantage Database Server","No","No","Yes","No","Yes","Yes","No","No","Yes","?","?"
"Apache Derby","No","No","No","No","No","No","No","No","No","?","?"
"ClustrixDB","No","Yes","No","No","No","No","No","No","No","No","?"
"CUBRID","No","No","Yes","Yes","Yes","No","No","No","No","No","No"
"Drizzle","No","No","No","No","No","No","No","No","No","?","?"
"DB2","No","?","Yes","No","Yes","Yes","No","No","Yes","?","?"
"Empress Embedded Database","Yes","No","No","Yes","No","Yes","No","No","No","?","?"
"EXASolution","No","Yes","No","No","No","No","No","No","No","?","?"
"Firebird","No","No","Yes","No","Yes ","No","No","No","No","?","?"
"HSQLDB","No","No","No","No","No","No","No","No","No","?","?"
"H2","No","Yes","No","No","No","No","No","No","Yes","Yes","?"
"Informix Dynamic Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ingres","Yes","Yes","Ingres v10","No","No","Ingres v10","No","No","No","?","?"
"InterBase","No","No","No","No","No","No","No","No","No","?","?"
"Linter SQL RDBMS","No","Yes temporary indices for equality joins","Yes for some scalar functions like LOWER and UPPER","No","No","No","No","No","Yes","No","No"
"LucidDB","No","No","No","No","No","Yes","No","No","No","?","?"
"MariaDB","MyISAM tables only","MEMORY, Cluster (NDB), InnoDB, tables only","PERSISTENT virtual columns only","No","No","No","No","No","MyISAM tables and, since v10.0.5, InnoDB tables","MyISAM tables only","?"
"MaxDB","No","No","No","No","No","No","No","No","No","?","?"
"Microsoft Access (JET)","No","No","No","No","No","No","No","No","No","?","?"
"Microsoft Visual Foxpro","No","No","Yes","Yes","Yes","Yes","No","No","No","?","?"
"Microsoft SQL Server","?","Non/Cluster & fill factor","Yes","Yes","No","No","No","No","Yes","Yes","?"
"Microsoft SQL Server Compact (Embedded Database)","No","No","No","No","No","No","No","No","No","?","?"
"MonetDB","No","Yes","No","No","No","Yes","No","No","No","No","No"
"MySQL","MyISAM tables only","MEMORY, Cluster (NDB), InnoDB, tables only","No","No","No","No","No","No","MyISAM tables and, since v5.6.4, InnoDB tables","MyISAM tables only","?"
"Oracle","Yes ","Cluster Tables","Yes","Yes ","Yes","Yes","No","No","Yes","Yes","?"
"Oracle Rdb","No","Yes","?","No","No","?","No","No","?","?","?"
"OpenLink Virtuoso","Yes","Cluster","Yes","Yes","No","Yes","No","No","Yes","Yes (Commercial only)","No"
"Pervasive PSQL","No","No","No","No","No","No","No","No","No","No","No"
"Polyhedra DBMS","No","Yes","No","No","No","No","No","No","No","No","?"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","PostGIS","?"
"RDM Embedded","No","Yes","No","Yes","Yes","No","No","No","No","No","No"
"RDM Server","No","No","No","Yes","Yes","No","No","No","No","No","No"
"ScimoreDB","No","No","No","No","No","No","No","No","Yes","?","?"
"solidDB","No","No","No","No","Yes","No","No","No","No","No","No"
"SQL Anywhere","No","No","No","No","No","No","No","No","Yes","?","?"
"SQLite","Yes","No","No","Yes","Yes","No","No","No","Yes","SpatiaLite","?"
"Teradata","No","Yes","Yes","Yes","No","Yes","No","No","?","?","?"
"UniVerse","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","?"
"","R-/R+ tree","Hash","Expression","Partial","Reverse","Bitmap","GiST","GIN","Full-text","Spatial","FOT"
