"Products","Research Networking Tool","h-index","Citation count","Altmetrics","SNIP and SJR","Journal Impact Factor*","Other","Comment",""
"P1","Academic Room","","","","","","","",""
"P2","Activity Insight","Yes","Yes","Yes","Yes","Yes","","",""
"P3","C-IKNOW","","","","","","","",""
"P4","Collaborative Partnership / Profile System","","","","","","","",""
"P5","Community Academic Profiles - CAP","","","","","","","",""
"P6","InCites","Yes","Yes","Yes Can integrate with altmetric data feed","No","Yes","","",""
"P7","Curvita Profile Manager","","","","","","","",""
"P8","CUSP - Columbia University Scientific Profiles","","","","","","","",""
"P9","Digital Vita","","","","","","","",""
"P10","Elsevier's Pure (integrated with SciVal Experts)","Yes","Yes","Yes Is integrated with Altmetric data feed","Yes","No","Field-weighted Citation Impact, Number of Authors,","",""
"P11","Elsevier's SciVal","Yes","Yes","Yes Views data from ScienceDirect and Scopus","Yes","No","15+ indicators ranging from h, g & m indicies, to Publications in Top Journal Percentiles, Field-Weighted Citation Impact, Academic-Corporate Collaboration Impact & Views per Publication","",""
"P12","Epernicus Solutions & Epernicus Network","","","","","","","",""
"P13","ERIM Member Profile System (ERIM MIS)","","","","","","","",""
"P14","EUREKA! Enhancing Student Research","","","","","","","",""
"P15","Expertise @ Maryland","","","","","","","",""
"P16","Faculty Profile System","","","","","","","",""
"P17","Faculty Research Information Profile (FRIP)","","","","","","","",""
"P18","Faculty Scholarly Productivity Index","","","","","","","",""
"P19","GENIUS","","","","","","","",""
"P20","Google Scholar","Yes","","","","","","",""
"P21","HUBzero","","","","","","","",""
"P22","iamResearcher","","","","","","","",""
"P23","iAMscientist","","","","","","","",""
"P24","i2iConnect","","","","","","","",""
"P25","InCites","Yes","Yes","Yes Recorded Future partnership provides customized newsfeed and instition activity from web content","No","Yes","","",""
"P26","INDURE","","","","","","","",""
"P27","LatticeGrid","","","","","","","",""
"P28","Lattes Database","","","","","","","",""
"P29","LinkedIn","No","No","None","","","","",""
"P30","Life Science Network","No","No","Yes (views counts, recommendations, rating scores calculated from anonymous and non-anonymous contributions)","No","No (but journals can be entered into the database and their IF indicated)","","",""
"P31","Loki","","","","","","","",""
"P32","McCormick Collaboration Visualization Tool","","","","","","","",""
"P33","MizzouLinks","","","","","","","",""
"P34","MyScienceWork","","","","","","","",""
"P35","OSU:pro","","","","","","","",""
"P36","Pivot","","","","","","","",""
"P37","Profiles","","","","","","","",""
"P38","ReachNC","Yes","","","","","","",""
"P39","Research Accelerator","","","","","","","",""
"P40","ResearcherID","Yes","Yes","","","","","",""
"P41","SciENcv","","","","","","","",""
"P42","Symplectic Elements","Yes","Yes","Yes","Yes","Yes","","",""
"P43","VIVO","","","","","","","",""
"P44","Yaffle","","","","","","","",""
