"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","TDP (W)","TDP (W)","GFLOPS/W
Single Precision","API support (version)","API support (version)","API support (version)","Release Price (USD)"
"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","Idle","Max.","DirectX","GFLOPS/W
Single Precision","OpenCL","","","Release Price (USD)"
"Radeon HD 4350","Sep 30, 2008","RV710","55","242","73","PCIe 2.0 ×16
PCIe 2.0 ×1
AGP 8×","256
512
1024","600","400","80:8:4","2.40","4.80","6.40","DDR2","64","92.0","No","","20","4.6","10.1","3.3","1.0","?"
"Radeon HD 4550","Sep 30, 2008","RV710","55","242","73","PCIe 2.0 ×16","256
512
1024","600
600","655
800","80:8:4","2.40","4.80","10.5
12.8","DDR2
GDDR3","64","96.0","No","","25","3.84","10.1","3.3","1.0","?"
"Radeon HD 4570","Nov 25, 2008","RV710","55","242","73","PCIe 2.0 ×16","1024","650","500","80:8:4","2.60","5.20","8.00","DDR2","64","104.0","No","","25","","10.1","3.3","1.0","?"
"Radeon HD 4580","Nov 20, 2011","RV635 PRO","55","378","135","PCIe 2.0 ×16","512","796","693","120:8:4","3.18","6.37","22.2","GDDR3","128","191.0","No","","65","","10.1","3.3","1.0","?"
"Radeon HD 4650","Sep 10, 2008","RV730 PRO","55","514","146","PCIe 2.0 ×16
AGP 8×","256
512
1024","600
650","400 - 500
500
700","320:32:8","4.80
5.20","19.2
20.8","12.8 - 16.0
16.0
22.4","DDR2
GDDR3
GDDR4","64
128","384.0
416.0","No","","48","8.0
8.7","10.1","3.3","1.0","?"
"Radeon HD 4670","Sep 10, 2008","RV730 XT","55","514","146","PCIe 2.0 ×16
AGP 8×","512
1024","750
750","400 - 500
900
1000","320:32:8","6.00","24.0","12.8 - 16.0
28.8
32.0","DDR2
GDDR3
GDDR4","128","480.0","No","","59","8.14","10.1","3.3","1.0","?"
"Radeon HD 4730","Jun 8, 2009","RV770 CE","55","956","256","PCIe 2.0 ×16","512","700
750","900
900","640:32:8","5.60
6.00","22.4
24.0","57.6","GDDR5","128","896.0
960.0","179.2
192.0","","110","8.15","10.1","3.3","1.0","?"
"Radeon HD 4750","Sep 9, 2009","RV740","40","826","137","PCIe 2.0 ×16","512","730","800","640:32:16","11.7","23.4","51.2","GDDR5","128","934.4","","","80","12","10.1","3.3","1.0","?"
"Radeon HD 4770","Apr 28, 2009","RV740","40","826","137","PCIe 2.0 ×16","512","750","800","640:32:16","12.0","24.0","51.2","GDDR5","128","960.0","192.0","","80","12","10.1","3.3","1.0","?"
"Radeon HD 4810","May 28, 2009","RV770 CE","55","956","256","PCIe 2.0 ×16","512","625
750","900
900","640:32:8","5.00
6.00","20.0
24.0","57.6","GDDR5","128","800.0
960.0","160.0
192.0","","95","","10.1","3.3","1.0","?"
"Radeon HD 4830","Oct 21, 2008","RV770 LE","55","956","256","PCIe 2.0 ×16","512
1024","575","900","640:32:16","9.20","18.4","57.6","GDDR3
GDDR4","256","736.0","147.2","","95","7.75","10.1","3.3","1.0","?"
"Radeon HD 4850","Jun 25, 2008","RV770 PRO","55","956","256","PCIe 2.0 ×16","512
1024
2048","625","993","800:40:16","10.0","25.0","63.55","GDDR3
GDDR4","256","1000","200.0","","110","9.09","10.1","3.3","1.0","?"
"Radeon HD 4860","Sep 9, 2009","RV790 GT","55","959","282","PCIe 2.0 ×16","512
1024","700","750","640:32:16","11.2","22.4","96","GDDR5","256","896.0","179.2","","130","6.89","10.1","3.3","1.0","?"
"Radeon HD 4870","Jun 25, 2008","RV770 XT","55","956","256","PCIe 2.0 ×16","512
1024
2048","750","900","800:40:16","12.0","30.0","115.2","GDDR5","256","1200","240.0","","150","8","10.1","3.3","1.0","?"
"Radeon HD 4890","Apr 2, 2009","RV790 XT","55","959","282","PCIe 2.0 ×16","1024
2048","850","975","800:40:16","13.6","34.0","124.8","GDDR5","256","1360","272.0","","190","7.16","10.1","3.3","1.0","?"
"Radeon HD 4850 X2","Nov 7, 2008","R700","55","956×2","256×2","PCIe 2.0 ×16","512×2
1024×2","625","995","800:40:16×2","10.0×2","25.0×2","63.7×2","GDDR3","256x2","2000","400.0","","250","8","10.1","3.3","1.0","339"
"Radeon HD 4870 X2","Aug 12, 2008","R700","55","956×2","256×2","PCIe 2.0 ×16","1024×2","750","900","800:40:16×2","12×2","30×2","115.2×2","GDDR5","256x2","2400","480.0","","286","8.39","10.1","3.3","1.0","399"
