"Model","Launch","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API compliance","API compliance"
"Model","Launch","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"3D Rage","November 1995","500","PCI","2","40","40","1:0:1:1","40","40","40","0","0.32","EDO","64","5.0","None"
"3D Rage II","September 1996","500","PCI","2, 4, 8","60","83","1:0:1:1","60","60","60","0","0.664","SDR","64","5.0","None"
"Rage Pro","March 1997","350","AGP 2x","8, 16","75","75","1:0:1:1","75","75","75","0","0.6","SDR","64","6.0","1.1"
"Rage XL","August 1998","350","AGP 2x, PCI","8","125","83","1:0:1:1","Unknown","125","125","0","0.664","SDR","64","6.0","1.2"
"Rage 128 VR","August 1998","250","AGP 2x, PCI","8,32","80","120","2:0:2:2","160","160","160","0","0.96","SDR","64","6.0","1.2"
"Rage 128 GL","August 1998","250","AGP 2x, PCI","32","103","103","2:0:2:2","206","206","206","0","1.648","SDR","128","6.0","1.2"
"Rage 128 Pro","August 1999","250","AGP 4x, PCI","16, 32","125","143","2:0:2:2","250","250","250","0","2.288","SDR","128","6.0","1.2"
"Rage 128 Ultra","August 1999","250","AGP 4x, PCI","16, 32, 64","130","130","2:0:2:2","260","260","260","0","2.088","SDR","128","6.0","1.2"
"Rage Fury MAXX","October 1999","250","AGP 4x, PCI","32","125","143","2:0:2:2 x2","500","500","500","0","4.576","SDR","128 x2","6.0","1.2"
