"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","TDP (W)","TDP (W)","GFLOPS/W
Single Precision","API support (version)","API support (version)","API support (version)","Release Price (USD)"
"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","Idle","Max.","DirectX","GFLOPS/W
Single Precision","OpenCL","","","Release Price (USD)"
"P17","","","","","","","","","","","","","","","","","","","","","","","","",""
"P1","Radeon HD 6350","Apr 7, 2011","Cedar","40","292","59","PCIe 2.1 ×16","512","650","800","80:8:4","2.6","5.2","12.8","DDR3","64","104","No","6.4","19.1","5.45","11.0","4.4","1.2","$23"
"P2","Radeon HD 6450","Feb 7, 2011 (OEM)","Caicos","40","370","67","PCIe 2.1 ×16","512","625
750","533
800","160:8:4","2.5
3.0","5.0
6.0","8.5
12.8","DDR3","64","200
240","No","9","18
27","11.11
8.89","11.0","4.4","1.2","OEM"
"P3","Radeon HD 6450","Apr 7, 2011","Caicos","40","370","67","PCIe 2.1 ×16","512
1024
2048","625
750","800
900","160:8:4","2.5
3.0","5.0
6.0","12.8
14.4","DDR3","64","200
240","No","9","18
27","11.11
8.89","11.0","4.4","1.2","$55"
"P4","Radeon HD 6570","Feb 7, 2011 (OEM)","Turks PRO","40","716","118","PCIe 2.1 ×16","1024","650","900","480:24:8","5.2","15.6","28.8","DDR3","128","624","No","10","44","14.18","11.0","4.4","1.2","OEM"
"P5","Radeon HD 6570","Apr 19, 2011","Turks PRO","40","716","118","PCIe 2.1 ×16","2048
4096","650
650","667
1000","480:24:8","5.2","15.6","21.3
64.0","DDR3
GDDR5","128","624","No","11","60","10.4","11.0","4.4","1.2","$79"
"P6","Radeon HD 6670","Apr 19, 2011","Turks XT","40","716","118","PCIe 2.1 ×16","512
1024
2048","800
800","800
1000","480:24:8","6.4","19.2","25.6
64.0","DDR3
GDDR5","128","768","No","12","66","11.64","11.0","4.4","1.2","$99"
"P7","Radeon HD 6750","Jan 21, 2011 (OEM)","Juniper PRO","40","1040","166","PCIe 2.1 ×16","512
1024","700
700","1150
1150","720:36:16","11.2","25.2","73.6","GDDR5","128","1008","No","16","86","11.72","11.0","4.4","1.2","OEM"
"P8","Radeon HD 6770","Apr 19, 2011","Juniper XT","40","1040","166","PCIe 2.1 ×16","512
1024","850
850","1200
1050","800:40:16","13.6","34.0","76.8
67.2","GDDR5","128","1360","No","18","108","12.59","11.0","4.4","1.2","?"
"P9","Radeon HD 6790","Apr 4, 2011","Barts LE","40","1700","255","PCIe 2.1 ×16","1024","840","1050","800:40:16","13.4","33.6","134.4","GDDR5","256","1344","No","19","150","8.96","11.0","4.4","1.2","$149"
"P10","Radeon HD 6850","Oct 22, 2010","Barts Pro","40","1700","255","PCIe 2.1 ×16","1024","775","1000","960:48:32","24.8","37.2","128.0","GDDR5","256","1488","No","19","127","11.72","11.0","4.4","1.2","$179"
"P11","Radeon HD 6870","Oct 22, 2010","Barts XT","40","1700","255","PCIe 2.1 ×16","1024
2048","900","1050","1120:56:32","28.8","50.4","134.4","GDDR5","256","2016","No","19","151","13.35","11.0","4.4","1.2","$239"
"P12","Radeon HD 6930","Dec 2011","Cayman CE","40","2640","389","PCIe 2.1 ×16","1024
2048","750
750","1200
1200","1280:80:32","24.0","60.0","153.6","GDDR5","256","1920","480","18","186","10.32","11.0","4.4","1.2","$180"
"P13","Radeon HD 6950","Dec 15, 2010","Cayman Pro","40","2640","389","PCIe 2.1 ×16","1024
2048","800
800","1250
1250","1408:88:32","25.6","70.4","160.0","GDDR5","256","2253","563","20","200","11.27","11.0","4.4","1.2","$259
$299"
"P14","Radeon HD 6970","Dec 15, 2010","Cayman XT","40","2640","389","PCIe 2.1 ×16","2048","880","1375","1536:96:32","28.2","84.5","176.0","GDDR5","256","2703","675","20","250","10.81","11.0","4.4","1.2","$369"
"P15","Radeon HD 6990","Mar 8, 2011","Antilles XT","40","2640×2","389×2","PCIe 2.1 ×16","2048×2","830","1250","1536:96:32×2","26.5×2","79.6×2","160.0×2","GDDR5","256×2","5099","1276.88","37","375","13.6","11.0","4.4","1.2","$699"
"P16","","","","","","","","","","","","","","","","","","","","","","","","",""
