"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Products","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"P1","Radeon VE/7000","Feb 19, 2001","RV100 (piglet)","180","AGP 4x, PCI","32, 64","183","366","1:0:3:1","183","336","549","0","2.688","DDR","64"
"P2","Radeon LE/7100 (OEM)","May 1, 2001","Rage 6 / R100","180","AGP 4x","32","150","300","2:0:6:2","296","296","888","37","4.736","DDR","128"
"P3","Radeon SDR/7200","June 2000","Rage 6 / R100","180","AGP 4x","32","166","166","2:0:6:2","333","333","996","41.5","2.656","SDR","128"
"P4","Radeon DDR/7200","April 2000","Rage 6 / R100","180","AGP 4x","32, 64","166/183","333/366","2:0:6:2","333/366","333/366","966/1098","41.5/45.75","5.312/5.856","DDR","128"
"P5","Radeon DDR/7500 VIVO","2001","Rage 6 / R100","180","AGP 4x, PCI","64","166/183","333/366","2:0:6:2","333/366","333/366","966/1098","41.5/45.75","5.312/5.856","DDR","128"
"P6","Radeon DDR/7500 VIVO ""SE""","2001","Rage 6 / R100","180","AGP 4x, PCI","64","200","400","2:0:6:2","400","400","1200","50.0","6.400","DDR","128"
"P7","Radeon 7500 LE","N/A","RV200 (morpheus)","150","AGP 4x, PCI","32, 64","250","350","2:0:6:2","500","500","1500","62.5","5.600","DDR","128"
"P8","Radeon 7500","Aug 14, 2001","RV200 (morpheus)","150","AGP 4x, PCI","32, 64","290","460","2:0:6:2","580","580","1740","72.5","7.360","DDR","128"
"P9","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"P10","Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
