"Model","Launch","Model Number","Based on","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPs","API compliance (version)","API compliance (version)","Notes"
"Model","Launch","Model Number","Based on","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","Notes"
"FirePro M5725","Unknown","Unknown","Mobility Radeon HD 4670","55","PCIe 2.0 x16","256","Unknown","Unknown","320(64×5):32:8","Unknown","Unknown","Unknown","GDDR3","128","Unknown","10.1 SM 4.1","3.2",""
"FirePro M5800","March 1, 2010","Redwood XT(RV830)","Mobility Radeon HD 5730","40","PCIe 2.0 x16","1024","650","800","400(80×5):20:8","5.2","13","25.6","GDDR5","128","520","11 SM 5","3.2","Used in HP EliteBook 8540w"
"FirePro M5950","2011","Whistler XT","Radeon HD 6770M","40","PCIe 2.1 x16","1024","725","900","480(96×5):24:8","5.8","17.4","57.6","GDDR5","128","696","11","4.1","Used in Dell Precision M4600"
"FirePro M7740","August 4, 2009","M97GL(RV740)","Mobility Radeon HD 4860","40","PCIe 2.0 x16","1024","650","1000","640(128×5):32:16","10.4","20.8","64","GDDR5","128","832","10.1 SM 4.1","3.2","used in Dell M6400 and M6500"
"FirePro M7820","May 1, 2010","Juniper XT(RV840)","Mobility Radeon HD 5870","40","PCIe 2.0 x16","1024","700","1000","800(160×5):40:16","11.2","28","64","GDDR5","128","1120","11","4.4","used in Dell M6500, HP EliteBook 8740w"
"FirePro M8900","2011","Blackcomb XT","Radeon HD 6970M","40","PCIe 2.1 x16","2048","680","900","960(192×5):48:32","21.76","32.64","115.2","GDDR5","256","1305.6","11","4.1","UVD3, used in Dell M6600"
"FirePro M2000","2012","Turks","Radeon HD 7590M","40","PCIe 2.1 x16","1024","500","800","480:24:8","4","12","25.6","GDDR5","64","480","11.1","4.2","Dell Precision M6700"
"FirePro M4000","2012","Cape Verde","Radeon HD 7770M","28","PCIe 2.1 x16","2048","600","1000","512:32:16","9.6","19.2","51.2","GDDR5","128","614.4","11.1","4.2","HP EliteBook 8770w, Dell Precision M6700"
"FirePro M6000","2012","Cape Verde","Radeon HD 7870M","28","PCIe 3.0 x16","2048","800","1000","640:40:16","12","30","64","GDDR5","128","960","11.1","4.2","Dell Precision M6700"
"FirePro M4100","2013","Oland","Radeon HD 8750M","28","PCIe 3.0 x16","2048","670","1000","384:24:8","5.4","16.1","64","GDDR5","128","514.6","11.2","4.4","HP   ZBook 14"
"FirePro M5100","2013","Cape Verde","Radeon HD 8870M","28","PCIe 3.0 x16","2048","775","1125","640:40:16","12.4","31","72","GDDR5","128","992","11.2","4.4",""
"FirePro M6100","2013","Bonaire","Radeon R9 M280X","28","PCIe 3.0 x16","2048","up to 1100","1500","896:56:16","17.6","61.6","96","GDDR5","128","1971.2","11.2","4.4","Dell Precision M6800, HP Zbook 17 G2"
