"Name","License","Platform","Details"
"ALFTP","proprietary, but freeware for any use","Windows only","Personal FTP server"
"Cerberus FTP Server","proprietary, commercial","Windows only","FTP, FTPS, SFTP, HTTPS web client, IPv6, SOAP-based web services API, Windows Active Directory / LDAP authentication, HTTP / HTTPS remote administration, public key and client certificate authentication"
"Complete FTP Server","proprietary, trialware","Windows only","FTP, FTPS, SFTP, SCP, HTTP, HTTPS, Windows Active Directory authentication, SQL authentication, groups, virtual file-system, process/e-mail events, protocol conversion for back-end servers, SSH tunnelling,  file-sharing (via client app), web-app hosting via   server-side Javascript, remote administration, public key and client certificate authentication, Plugin API (.NET), fail-over,  load-balancing"
"CrushFTP Server","proprietary, trialware","Mac OS X, Windows (all), Linux (all), *BSD, Solaris, IBM.","FTP, FTPS, SFTP, SCP, HTTP, HTTPS, WebDAV(SSL), AS2, AS3, Plugin API, Active Directory / LDAP authentication, RADIUS authentication, SQL authentication, Web UI administration, Groups, Layered Inheritance, Events / Alerts, Protocol Conversion (incoming FTP/FTPS/SFTP/HTTP(s) protocols converted to a back end FTP(ES)/SFTP/HTTP(s)/S3/WebDAV server.), SSH Tunneling, HTTP(S) Tunneling, CrushTask, client certificate authentication, ad-hoc file sharing, keywords search, PGP in stream encryption / decryption, bandwidth acceleration (CrushTunnel), file revisions and synchronization, DMZ front end server mode can also cluster with load balance, DDOS protection, High Availability Virtual IP and HTTP session replication, Job scheduling and monitoring.  Supports cloud storage via S3 for file data."
"FileZilla Server","open source, free software","Windows Vista, 7, 8 and 8.1","FTP, FTPS, supports autoban, speedlimits, IP Filter, Groups, Shared folders, compression,"
"LogicalDOC","proprietary, open source","Mac OS X, Windows, Linux, *BSD, Solaris, etc.","FTP, SFTP, HTTP, HTTPS, WebDAV and WebDAV over SSL, Plugin API, Windows Active Directory / LDAP authentication, SQL authentication, Web UI administration, Events / Alerts, file revisions and synchronization."
"Microsoft Internet Information Services","proprietary","Windows only","FTP, FTPS, WebDAV and WebDAV over SSL
(FTPS is supported in IIS 7 and later)"
"NASLite","proprietary","Linux based","FTP/NAS server"
"Sysax Multi Server","proprietary, Free Personal Edition","Windows (All Editions)","Secure FTP Server that also supports Secure Shell Access and Web browser based secure file transfer. Protocols supported include FTP, FTPS, SFTP, HTTP, HTTPS, Telnet, and Secure Shell. Features include web UI administration, server event triggers and scripting, and authentication using Windows, ODBC, or Active Directory. Certified for Windows Vista."
"War FTP Daemon","open source, free software","Windows 9X/2000/XP/2003","One of the original FTP servers made for the windows platform and still available."
"WS FTP Server","proprietary","Windows only: XP or later","WS_FTP stands for WinSock File Transfer Protocol. It's developed and sold by Ipswitch, which offers it with three different prices: an FTP server, an SFTP server, and the full Corporate version with encrypting and SCP2."
