"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Execution 
units","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Execution 
units","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","AVC","",""
"GMA 3000","2006","Desktop","946GZ","Lakeport","2972
2973","667","8","3.0 (SW) / 2.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","10.6","256","MC","No","No"
"GMA 3000","2006","Desktop","Q963","Broadwater","2992
2993","667","8","3.0 (SW) / 2.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","10.6","256","MC","No","No"
"GMA 3000","2006","Desktop","Q965","Broadwater","2992
2993","667","8","3.0 (SW) / 2.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","12.8","256","MC","No","No"
"GMA X3000","2006","Desktop","G965","Broadwater","29A2
29A3","667","8","3.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","12.8","384","Full","MC + (LF −
WMV9 only)","No"
"GMA X3500","2007","Desktop","G35","Bearlake","2982
2983","667","8","4.0","10.0","1.5 on Windows
2.1 on Linux","","12.8","384","Full","MC + LF","No"
"GMA X3100","2007","Mobile","GL960","Crestline","2A02
2A03
2A12
2A13","400","8","4.0","10.0","1.5 on Windows
2.1 on Linux","","8.5","384","Full","MC + (LF −
WMV9 only)","No"
"GMA X3100","2007","Mobile","GLE960","Crestline","2A02
2A03
2A12
2A13","400","8","4.0","10.0","1.5 on Windows
2.1 on Linux","","8.5","384","Full","MC + (LF −
WMV9 only)","No"
"GMA X3100","2007","Mobile","GM965","Crestline","2A02
2A03
2A12
2A13","500","8","4.0","10.0","1.5 on Windows
2.1 on Linux","","10.7","384","Full","MC + (LF −
WMV9 only)","No"
"GMA X3100","2007","Mobile","GME965","Crestline","2A02
2A03
2A12
2A13","500","8","4.0","10.0","1.5 on Windows
2.1 on Linux","","10.7","384","Full","MC + (LF −
WMV9 only)","No"
"GMA 4500","2008","Desktop","B43","Eaglelake","2E42
2E43
2E92
2E93","533","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","MC + LF","MC + LF"
"GMA 4500","2008","Desktop","Q43","Eaglelake","2E12
2E13","533","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","MC + LF","MC + LF"
"GMA 4500","2008","Desktop","Q45","Eaglelake","2E12
2E13","533","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","MC + LF","MC + LF"
"GMA X4500","2008","Desktop","G41","Eaglelake","2E32
2E33","800","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","MC + LF","MC + LF"
"GMA X4500","2008","Desktop","G43","Eaglelake","2E22
2E23","800","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","MC + LF","MC + LF"
"GMA X4500HD","2008","Desktop","G45","Eaglelake","2E22
2E23","800","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GL40","Cantiga","2A42
2A43","400","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GS40","Cantiga","2A42
2A43","400","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GM45","Cantiga","2A42
2A43","533","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","Full","Full"
"GMA 4500MHD","2008","Mobile","GS45","Cantiga","2A42
2A43","533","10","4.0","10.0","2.0 on Windows 7
2.1 on Linux","","12.8 (DDR2)
17 (DDR3)","1700","Full","Full","Full"
