"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","API support","API support","API support","Memory bandwidth
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","DirectX","OpenGL","OpenCL","Memory bandwidth
(GB/s)","DVMT 
(MB)","",""
"HD Graphics","2012","Desktop","Celeron 16x0
Celeron 1610T
Pentium 2xx0
Pentium G2xx0T","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1050","6","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","No","No"
"HD Graphics","2012","Mobile","Celeron 10x0M
Celeron 10x7U
Pentium 2117U
Pentium 20x0M","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–1100","6","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","No","No"
"HD Graphics 2500","2012","Workstation","Xeon E3-1265LV2","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1150","6","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 2500","2012","Desktop","Core i3-32x0
Core i3-32x0T
Core i5-3xx0
Core i5-3xx0S
Core i5-3xx0T","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1150","6","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Desktop","Core i3-3225
Core i3-3245
Core i5-3475S
Core i5-3570K
Core i7-3770
Core i7-3770x","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1150","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i3-3110M","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1000","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i3-3120M 
 Core i5-3210M","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1100","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i3-3120ME","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–900","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i3-3217U 
 Core i5-3317U","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–1050","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i3-3217UE","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–900","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i3-3229Y 
 Core i5-3339Y 
 Core i5-3439Y","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–850","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i5-3320M 
 Core i5-3360M","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1200","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i5-3337U","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–1100","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i5-3427U","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–1150","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i5-3610ME","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–950","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics 4000","2012","Mobile","Core i7-3520M
Core i7-3xx7U
Core i7-3xxxQM
Core i7-3920XM","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","350–1300","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics P4000","2012","Workstation","Xeon E3-12x5V2","Ivy Bridge","0162
 0166
 016A
 0152
 0156
 015A","650–1250","16","5.0","11.0","4.0 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","1720","Yes","Yes"
"HD Graphics","2013","Desktop","Pentium G3xxx","Haswell","HSW: 
0402 
0412 
0422 
0406 
0416 
0426 
040A 
041A 
042A 
040B 
041B 
042B 
040E 
041E 
042E 

 HSW-ULT: 
0A02 
0A12 
0A22 
0A06 
0A16 
0A26 
0A0A 
0A1A 
0A2A 
0A0B 
0A1B 
0A2B 
0A0E 
0A1E 
0A2E 

 HSW-SDV: 
0C02 
0C12 
0C22 
0C06 
0C16 
0C26 
0C0C 
0C1C 
0C2C 
0C0B 
0C1B 
0C2B 
0C0E 
0C1E 
0C2E 

 HSW-CRW: 
0D02 
0D12 
0D22 
0D06 
0D16 
0D26 
0D0A 
0D1A 
0D2A 
0D0B 
0D1B 
0D2B 
0D0E 
0D1E 
0D2E","350–1150","10 (GT1)","5.0","11.1 (12 for Iris/GT3)","4.3 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","2048","Yes","Yes"
"HD Graphics","2013","Desktop","Pentium G3xxxT","Haswell","HSW: 
0402 
0412 
0422 
0406 
0416 
0426 
040A 
041A 
042A 
040B 
041B 
042B 
040E 
041E 
042E 

 HSW-ULT: 
0A02 
0A12 
0A22 
0A06 
0A16 
0A26 
0A0A 
0A1A 
0A2A 
0A0B 
0A1B 
0A2B 
0A0E 
0A1E 
0A2E 

 HSW-SDV: 
0C02 
0C12 
0C22 
0C06 
0C16 
0C26 
0C0C 
0C1C 
0C2C 
0C0B 
0C1B 
0C2B 
0C0E 
0C1E 
0C2E 

 HSW-CRW: 
0D02 
0D12 
0D22 
0D06 
0D16 
0D26 
0D0A 
0D1A 
0D2A 
0D0B 
0D1B 
0D2B 
0D0E 
0D1E 
0D2E","200–1100","10 (GT1)","5.0","11.1 (12 for Iris/GT3)","4.3 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","2048","Yes","Yes"
"HD Graphics","2013","Desktop","Celeron G18xx","Haswell","HSW: 
0402 
0412 
0422 
0406 
0416 
0426 
040A 
041A 
042A 
040B 
041B 
042B 
040E 
041E 
042E 

 HSW-ULT: 
0A02 
0A12 
0A22 
0A06 
0A16 
0A26 
0A0A 
0A1A 
0A2A 
0A0B 
0A1B 
0A2B 
0A0E 
0A1E 
0A2E 

 HSW-SDV: 
0C02 
0C12 
0C22 
0C06 
0C16 
0C26 
0C0C 
0C1C 
0C2C 
0C0B 
0C1B 
0C2B 
0C0E 
0C1E 
0C2E 

 HSW-CRW: 
0D02 
0D12 
0D22 
0D06 
0D16 
0D26 
0D0A 
0D1A 
0D2A 
0D0B 
0D1B 
0D2B 
0D0E 
0D1E 
0D2E","350-1050","10 (GT1)","5.0","11.1 (12 for Iris/GT3)","4.3 on Windows
4.1 on Mac OS X
3.3 on Linux","1.2","25.6","2048","Yes","Yes"
