"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","API support","API support","API support","Memory bandwidth
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","CPU","Code name","Device id.","Core clock (MHz)","Execution 
units","Shader 
model","DirectX","OpenGL","OpenCL","Memory bandwidth
(GB/s)","DVMT 
(MB)","",""
"HD Graphics","2015","Mobile","Celeron 3205U
 Celeron 3755U
 Pentium 3805U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","100–800","12 (GT1)","?","11.2","4.3 on Windows
3.3 on Linux","2.0","?","?","?","?"
"HD Graphics","2015","Mobile","Celeron 3215U
 Celeron 3765U
Pentium 3825U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–850","12 (GT1)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5300","2014","Ultramobile","Core M-5Y10
Core M-5Y10a","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","100–800","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5300","2014","Ultramobile","Core M-5Y10c","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–800","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5300","2014","Ultramobile","Core M-5Y31","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–850","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5300","2014","Ultramobile","Core M-5Y51
Core M-5Y71","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–900","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5300","2014","Ultramobile","Core M-5Y70","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","100–850","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5500","2015","Mobile","Core i3-5005U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–850","23 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5500","2015","Mobile","Core i3-5010U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–900","23 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5500","2015","Mobile","Core i5-5x00U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–900","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5500","2015","Mobile","Core i7-5x00U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–950","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5600","2015","Mobile","Core i7-5700EQ","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1000","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 5600","2015","Mobile","Core i7-5700HQ","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1050","24 (GT2)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 6000","2015","Mobile","Core i5-5250U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–950","48 (GT3)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"HD Graphics 6000","2015","Mobile","Core i5-5350U
 Core i7-5x50U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1000","48 (GT3)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Graphics 6100","2015","Mobile","Core i3-5157U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1000","48 (GT3)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Graphics 6100","2015","Mobile","Core i5-5257U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1050","48 (GT3)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Graphics 6100","2015","Mobile","Core i5-5287U
 Core i7-5557U","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1100","48 (GT3)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Pro Graphics 6200","2015","Desktop","Core i5-5575R","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1050","48+eDRAM (GT3e)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Pro Graphics 6200","2015","Desktop","Core i5-5675C
 Core i5-5675R","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1100","48+eDRAM (GT3e)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Pro Graphics 6200","2015","Desktop","Core i7-5775C
 Core i5-5775R","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1150","48+eDRAM (GT3e)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Pro Graphics 6200","2015","Mobile","Core i7-5850EQ","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1000","48+eDRAM (GT3e)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
"Iris Pro Graphics 6200","2015","Mobile","Core i5-5350H","Broadwell","1602 
1606 
160A 
160B 
160D 
160E 
1612 
1616 
161A 
161B 
161D 
161E 

1622 
1626 
162A 
162B 
162D 
162E 
1632 
1636 
163A 
163B 
163D 
163E","300–1050","48+eDRAM (GT3e)","","11.2","4.3 on Windows
3.3 on Linux","2.0","","","",""
