"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core config","Clock rate","Clock rate","Clock rate","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)","Processing Power (GFLOPS)","TDP (watts)","GFLOPS/W","Comments"
"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core config","Core (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Processing Power (GFLOPS)","TDP (watts)","GFLOPS/W","Comments"
"P1","GeForce 8100 mGPU","2008","MCP78","80","Unknown","Unknown","PCIe 2.0 x16","Up to 512 from system memory","8:8:4","500","1200","800
(system memory)","2","4","6.4
12.8","DDR2","64
128","10.0","3.3","28.8","Unknown","Unknown","The block of decoding of HD-video PureVideo HD is disconnected"
"P2","GeForce 8200 mGPU","2008","MCP78","80","Unknown","Unknown","PCIe 2.0 x16","Up to 512 from system memory","8:8:4","500","1200","800
(system memory)","2","4","6.4
12.8","DDR2","64
128","10.0","3.3","28.8","Unknown","Unknown","PureVideo 3 with VP3"
"P3","GeForce 8300 mGPU","2008","MCP78","80","Unknown","Unknown","PCIe 2.0 x16","Up to 512 from system memory","8:8:4","500","1500","800
(system memory)","2","4","6.4
12.8","DDR2","64
128","10.0","3.3","36","Unknown","Unknown","PureVideo 3 with VP3"
"P4","GeForce 8300 GS","July 2007","G86
G98","65","210","86","PCIe 2.0 x16","128
512","8:8:4","450","900","800","1.8","3.6","6.4","DDR2","64","10.0","3.3","22","40","0.55","OEM only"
"P5","GeForce 8400 GS","June 15, 2007","G86","80","210","127","PCIe 1.0 x16
PCI","128
256
512","16:8:4","450","900","800","1.8","3.6","6.4","DDR2","64","10.0","3.3","43","40","1.08",""
"P6","GeForce 8400 GS rev.2","December 4, 2007","G98","65","210","86","PCIe 2.0 x16
PCIe x1
PCI","128
256
512","8:8:4","567","1400","800","2.268","4.536","6.4","DDR2","64","10.0","3.3","33","25","1.32",""
"P7","GeForce 8400 GS rev.3","April 2009","GT218","40","260","57","PCIe 2.0 x16","512
1024","8:4:4","520
589","1230","600 (1200)","2.08
2.356","2.08
2.356","4.8
9.6","DDR3","32
64","10.1","3.3","30.5","25","1.22",""
"P8","GeForce 8500 GT","April 17, 2007","G86","80","210","127","PCIe 1.0 x16
PCI","256
512
1024","16:8:4","450","900","400 (800)","1.8","3.6","12.8","DDR2","128","10.0","3.3","43","45","0.96",""
"P9","GeForce 8600 GS","April 2007","G84","80","289","169","PCIe 1.0 x16","256
512","32:16:8","540","1180","800","4.32","8.64","12.8","DDR2","128","10.0","3.3","113","47","2.40","OEM only"
"P10","GeForce 8600 GT","April 17, 2007","G84","80","289","169","PCIe 1.0 x16
PCI","256
512
1024","32:16:8","540","1188","800
1400","4.32","8.64","12.8
22.4","DDR2
GDDR3","128","10.0","3.3","113","47","2.40",""
"P11","GeForce 8600 GTS","April 17, 2007","G84","80","289","169","PCIe 1.0 x16","256
512","32:16:8","675","1450","2000","5.4","10.8","32","GDDR3","128","10.0","3.3","139","75","1.85",""
"P12","GeForce 8800 GS","Jan 2008","G92","65","754","324","PCIe 2.0 x16","384
768","96:48:12","550","1375","1600","6.6","26.4","38.4","GDDR3","192","10.0","3.3","396","85","3.77",""
"P13","GeForce 8800 GTS (G80)","February 12, 2007 (320) 
November 8, 2006 (640)","G80","90","681","484","PCIe 1.0 x16","320
640","96:24:20","513","1188","1600","10.3","24.6","64","GDDR3","320","10.0","3.3","346","105","2.42",""
"P14","GeForce 8800 GTS 112 (G80)","November 19, 2007","G80","90","681","484","PCIe 1.0 x16","640","112:28:20","500","1200","1600","10","24","64","GDDR3","320","10.0","3.3","399","150","2.66","only XFX, EVGA and BFG models, very short-lived"
"P15","GeForce 8800 GT","October 29, 2007 (512)
December 11, 2007 (256, 1024)","G92","65","754","324","PCIe 2.0 x16","256
512
1024","112:56:16","600","1500","1400 (256)
1800 (512, 1024)","9.6","33.6","57.6","GDDR3","256","10.0","3.3","504","125","4.03",""
"P16","GeForce 8800 GTS (G92)","December 11, 2007","G92","65","754","324","PCIe 2.0 x16","512","128:64:16","650","1625","1940","10.4","41.6","62.1","GDDR3","256","10.0","3.3","624","135","4.62",""
"P17","GeForce 8800 GTX","November 8, 2006","G80","90","681","484","PCIe 1.0 x16","768","128:32:24","575","1350","1800","13.8","36.8","86.4","GDDR3","384","10.0","3.3","518 (343)","155","3.34",""
"P18","GeForce 8800 Ultra","May 2, 2007","G80","90","681","484","PCIe 1.0 x16","768","128:32:24","612","1500","2160","14.7","39.2","103.7","GDDR3","384","10.0","3.3","576","171","3.37",""
"P19","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory min (MB)","Core config","Core (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Processing Power (GFLOPS)","TDP (Watts)","GFLOPS/W","Comments"
"P20","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory min (MB)","Core config","Clock rate","Clock rate","Clock rate","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)","Processing Power (GFLOPS)","TDP (Watts)","GFLOPS/W","Comments"
