"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core config","Clock speed","Clock speed","Clock speed","Fillrate","Fillrate","Memory","Memory","Memory","API support (version)","API support (version)","Processing Power (GFLOPS)","TDP (watts)","GFLOPS/W","Notes"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core config","Core (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL","Processing Power (GFLOPS)","TDP (watts)","GFLOPS/W","Notes"
"GeForce G210M","June 15, 2009","GT218","40","PCIe 2.0 x16","512","16:8:4","625","1500","1600","2.5","5","12.8","GDDR3","64","10.1","3.3","72","14","5.14","Lower clocked versions of the GT218 core is also known as Nvidia ION 2"
"GeForce GT 220M","2009","G96b","55","PCIe 2.0 x16","1024","32:16:8","500","1250","1000
1600","4","8","16
25.6","DDR2
GDDR3","128","10.0","3.3","120","14","8.57","rebranded 9600M GT @55 nm node shrink"
"GeForce GT 230M","June 15, 2009","GT216","40","PCIe 2.0 x16","1024","48:16:8","500","1100","1600","4","8","25.6","GDDR3","128","10.1","3.3","158","23","6.87",""
"GeForce GT 240M","June 15, 2009","GT216","40","PCIe 2.0 x16","1024","48:16:8","550","1210","1600","4.4","8.8","25.6","GDDR3","128","10.1","3.3","174","23","7.57",""
"GeForce GTS 250M","June 15, 2009","GT215","40","PCIe 2.0 x16","1024","96:32:8","500","1250","3200","4","16","51.2","GDDR5","128","10.1","3.3","360","28","12.86",""
"GeForce GTS 260M","June 15, 2009","GT215","40","PCIe 2.0 x16","1024","96:32:8","550","1375","3600","4.4","17.6","57.6","GDDR5","128","10.1","3.3","396","38","10.42",""
"GeForce GTX 260M","March 3, 2009","G92b","55","PCIe 2.0 x16","1024","112:56:16","550","1375","1900","8.8","30.8","60.8","GDDR3","256","10.0","3.3","462","65","7.11",""
"GeForce GTX 280M","March 3, 2009","G92b","55","PCIe 2.0 x16","1024","128:64:16","585","1463","1900","9.36","37.44","60.8","GDDR3","256","10.0","3.3","562","75","7.49",""
"GeForce GTX 285M","February, 2010","G92b","55","PCIe 2.0 x16","1024","128:64:16","600","1500","2000","9.6","38.4","64.0","GDDR3","256","10.0","3.3","576","75","7.68","Higher Clocked Version of GTX280M with new memory"
