"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","TDP (watts)","Notes"
"NVS 50","NV18","150","AGP 4x/PCI","64","250","250","200","0:2:4:2","0.5","1.0","1.6","DDR","32","","7","1.2","","DVI-I, S-Video"
"NVS 100","NV17","150","AGP 4x/PCI","64","","","333","0:2:4:2","","","5.328","DDR","128","","7","1.2","","2x DVI-I, VGA, S-Video"
"NVS 200","NV17","150","AGP 4x/PCI","64","250","250","250","0:2:4:2","0.5","1.0","8.0","DDR","128","","7","1.2","","LFH-60"
"NVS 210S","MCP51","90","Integrated","Up to 256 from system memory","425","","","1:2:2:1","0.425","0.850","","DDR","128","","9.0c","1.2","","DVI + VGA"
"NVS 280","NV34GL","150","PCI-Express ×16/AGP 8× / PCI","64","275","275","250","0:2:4:2/
1:2:2:2 *:4:4:4","0.55","1.1","8.0","DDR","128","","9.0","1.5","13","DMS-59"
"NVS 285","NV44","110","PCI-Express ×1/×16","128","275","275","275","3:4:4:2","0.55","1.1","8.8","DDR","128","","9.0","2.1","18","DMS-59"
"NVS 290","G86","80","PCI-Express ×1/×16","256","460","920","800","16:8:4","1.84","3.68","6.4","DDR2","64","44.16","10","3.3","21","DMS-59"
"NVS 295","G98","65","PCI-Express ×1/×16","256","550","1300","1400","8:8:4","2.2","4.4","11.2","GDDR3","64","31.2","10","3.3","23","2× DisplayPort or 2× DVI-D"
"NVS 300","GT218","40","PCI-Express ×1/×16","512","589","1402","1580","16:8:4","2.356","4.712","12.64","DDR3","64","67.3","10.1","3.3","17.5","DMS-59"
"NVS 310","GF119","40","PCI-Express ×16","512","","","1750","48:8:4","","","14","DDR3","64","","11.0","4.5","19.5","2× DisplayPort"
"NVS 315","GF119","40","PCI-Express ×16","1024","","","1800","48:8:4","","","14","GDDR3","64","","11.0","4.5","19.5","DMS-59"
"NVS 400","2× NV17","150","PCI","2× 64","220","220","343","2× 0:2:4:2","2× 0.44","2× 0.88","2× 11.0","DDR","2× 128","2× 5.328","","","","DMS-59"
"NVS 420","2×G98","65","PCI-Express ×1/×16","2× 256","550","1300","1400","2× 8:8:4","2× 2.2","2× 4.4","2× 11.2","GDDR3","2× 64","2× 31.2","10","3.3","40","through VHDCI to (4× DisplayPort or 4× DVI-D)"
"NVS 440","2×NV43","110","PCI-Express ×16","2× 128","","","","","","","","","","","","","31","2x DMS-59"
"NVS 510","GK107","28","PCI-Express ×16","2048","","","1800","192:16:8
(1 SMX)","","","28.5","GDDR3","128","","11.0","4.5","35","4× miniDisplayPort"
